点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
201,0.000,0.000,189.421,0.468,-54.875,-53.273,-11.183,163.495,154.363,-28.104,117.947,99521.498,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.203,0.2535,,,,,
202,0.000,0.000,188.719,0.584,-51.695,-52.897,2.357,168.443,144.779,-35.566,119.473,99520.055,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.163,1.0468,,,,,
203,0.000,0.000,189.908,0.566,-48.264,-51.762,17.794,172.332,134.479,-40.221,123.033,99522.219,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.221,0.9296,,,,,
204,0.000,0.000,193.407,0.654,-47.336,-52.326,34.843,176.736,122.976,-48.187,126.260,99520.125,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0526,18.385,0.2181,,,,,
205,0.000,0.000,191.067,0.661,-51.298,-57.046,46.439,176.408,107.047,-57.612,125.327,99520.367,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.273,0.3870,,,,,
206,0.000,0.000,191.300,0.537,-52.397,-56.390,61.501,175.806,91.085,-61.714,127.645,99519.467,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.290,1.1977,,,,,
207,0.000,0.000,190.690,0.551,-52.922,-53.725,77.903,176.519,75.297,-64.331,129.292,99521.725,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.260,1.1077,,,,,
208,0.000,0.000,190.032,0.584,-52.733,-48.290,93.617,175.123,59.008,-64.700,130.937,99522.578,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.227,0.4153,,,,,
209,0.000,0.000,190.233,0.620,-52.213,-41.131,109.091,174.782,42.861,-64.855,132.287,99523.688,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.235,0.4894,,,,,
210,0.000,0.000,189.914,0.666,-51.627,-30.950,123.337,172.281,27.483,-63.260,133.057,99521.523,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.218,0.6423,,,,,
211,0.000,0.000,190.436,0.547,-51.891,-18.842,134.775,167.488,13.738,-59.929,136.378,99522.755,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.249,0.7132,,,,,
212,0.000,0.000,190.045,0.748,-55.751,-9.594,145.802,162.435,-0.948,-61.004,137.304,99522.233,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.220,0.3931,,,,,
213,0.000,0.000,190.711,0.640,-59.521,0.936,153.849,154.481,-14.757,-61.734,138.194,99521.320,31.2,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.258,0.3920,,,,,P3-P4
