点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
304,0.000,0.000,191.160,0.706,107.914,180.308,-12.514,-127.877,-112.127,-128.978,90.432,99514.753,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.286,1.0990,,,,,
305,0.000,0.000,189.111,0.684,121.331,176.035,-31.003,-125.367,-115.866,-120.810,87.367,99515.578,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.189,0.4844,,,,,
306,0.000,0.000,193.395,0.631,140.024,174.291,-45.529,-118.029,-115.669,-103.743,89.323,99517.928,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0526,18.397,1.8878,,,,,
307,0.000,0.000,191.767,0.574,149.828,167.374,-59.620,-115.455,-118.400,-92.854,87.321,99514.730,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.322,0.8735,,,,,
308,0.000,0.000,189.322,0.819,158.445,156.422,-76.030,-113.257,-121.711,-77.396,84.045,99514.858,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.193,0.2679,,,,,P1-P2
309,0.000,0.000,189.074,0.659,166.412,146.677,-85.875,-107.161,-120.877,-58.953,83.905,99514.219,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.189,0.4899,,,,,
310,0.000,0.000,189.354,0.712,173.641,134.527,-93.838,-100.973,-119.528,-37.319,85.517,99512.883,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.200,0.5005,,,,,
311,0.000,0.000,190.959,0.764,179.564,120.556,-100.448,-96.237,-117.446,-13.609,87.986,99513.578,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.275,0.2216,,,,,
312,0.000,0.000,188.529,0.688,179.622,100.247,-109.804,-98.649,-119.866,5.633,86.060,99512.789,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.161,0.5250,,,,,
313,0.000,0.000,189.206,0.795,181.756,83.382,-110.856,-95.508,-115.595,29.262,88.758,99514.633,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.189,0.4960,,,,,
314,0.000,0.000,189.835,0.820,186.756,49.633,-139.056,-112.142,-146.653,35.033,60.830,99513.930,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.218,0.1487,,,,,
315,0.000,0.000,189.369,0.661,185.262,20.368,-146.477,-112.930,-150.550,58.402,56.893,99514.570,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.203,0.6142,,,,,
316,0.000,0.000,191.501,0.700,187.295,-3.335,-142.435,-109.129,-144.578,84.399,58.471,99513.023,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.304,0.4066,,,,,
317,0.000,0.000,189.465,0.658,183.672,-31.088,-141.069,-112.760,-140.626,104.415,55.495,99510.352,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.209,1.0232,,,,,
318,0.000,0.000,187.497,0.783,180.552,-55.816,-138.808,-117.258,-133.424,123.419,53.904,99511.859,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.107,0.5596,,,,,
319,0.000,0.000,193.118,0.788,179.264,-76.903,-133.042,-120.907,-124.850,142.007,52.871,99510.742,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0525,18.378,0.7818,,,,,
320,0.000,0.000,190.381,0.729,169.747,-101.384,-131.924,-129.467,-116.470,154.002,48.320,99509.502,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.250,0.9233,,,,,
321,0.000,0.000,189.945,0.729,158.990,-122.140,-130.575,-136.767,-105.893,163.782,43.468,99507.497,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.229,0.7011,,,,,P1-P6
322,0.000,0.000,189.241,0.919,146.444,-138.763,-128.110,-143.306,-91.590,172.036,40.913,99507.469,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.186,0.3484,,,,,
323,0.000,0.000,186.715,0.634,129.247,-154.121,-126.227,-151.278,-76.320,176.057,36.392,99508.044,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0517,18.077,1.4054,,,,,
324,0.000,0.000,190.441,0.763,114.781,-162.379,-120.910,-154.996,-53.446,183.651,39.296,99508.159,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.251,0.9324,,,,,
325,0.000,0.000,190.716,0.701,96.056,-168.764,-118.830,-158.587,-31.832,186.579,39.323,99510.250,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.267,0.5636,,,,,
326,0.000,0.000,190.281,0.679,73.993,-171.897,-118.719,-161.222,-7.077,187.375,41.391,99509.469,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.248,0.5579,,,,,
327,0.000,0.000,191.143,0.695,49.408,-169.746,-116.322,-161.922,22.605,188.709,43.872,99508.211,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.288,0.7350,,,,,
328,0.000,0.000,192.229,0.783,23.185,-164.392,-113.418,-159.576,52.705,189.152,46.968,99506.898,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.336,0.5297,,,,,
329,0.000,0.000,191.285,0.708,-4.167,-155.930,-108.274,-151.248,82.265,186.938,49.065,99507.719,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.295,0.6470,,,,,
330,0.000,0.000,190.419,0.776,-31.951,-146.338,-105.118,-139.225,109.841,182.488,48.690,99506.844,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.250,0.7762,,,,,
331,0.000,0.000,190.723,0.757,-53.952,-134.466,-104.000,-121.250,134.475,176.530,50.323,99507.625,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.266,1.0585,,,,,
332,0.000,0.000,190.524,0.698,-78.937,-124.635,-108.625,-100.931,154.621,162.770,48.315,99505.805,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.259,0.6187,,,,,
333,0.000,0.000,189.943,0.745,-100.611,-116.272,-116.608,-78.291,170.108,144.979,45.109,99506.008,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.229,0.9372,,,,,
334,0.000,0.000,190.432,0.547,-117.172,-108.896,-123.238,-53.052,179.435,122.584,41.730,99502.078,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.263,0.4005,,,,,
335,0.000,0.000,191.083,0.766,-129.201,-102.625,-129.384,-25.235,185.846,98.206,40.177,99502.531,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.283,0.2971,,,,,
336,0.000,0.000,188.108,0.735,-140.212,-101.547,-137.372,0.446,186.440,69.039,34.898,99501.891,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.142,0.4824,,,,,
337,0.000,0.000,186.694,0.847,-146.162,-101.805,-143.199,26.402,186.262,39.788,30.848,99505.440,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0516,18.067,0.5597,,,,,
338,0.000,0.000,189.981,0.676,-144.773,-99.503,-142.143,56.112,189.907,13.707,32.153,99502.914,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.235,0.7925,,,,,
339,0.000,0.000,190.773,0.880,-144.263,-100.630,-143.537,77.569,188.167,-11.050,30.582,99504.209,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.263,0.9867,,,,,
340,0.000,0.000,186.429,0.785,-143.688,-102.426,-143.682,97.411,184.391,-36.697,27.118,99505.347,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0516,18.058,0.2466,,,,,
341,0.000,0.000,187.714,0.871,-140.953,-102.782,-137.876,116.263,181.611,-56.512,27.303,99506.625,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.116,0.6009,,,,,
342,0.000,0.000,190.086,0.656,-134.766,-102.762,-125.613,135.584,179.206,-72.579,31.601,99507.145,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.241,0.2377,,,,,
343,0.000,0.000,191.452,0.743,-130.027,-105.668,-111.932,150.580,172.904,-88.397,34.734,99506.500,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.302,1.1187,,,,,
344,0.000,0.000,189.392,0.683,-124.578,-109.428,-96.921,161.091,162.782,-102.998,36.711,99506.492,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.206,1.2767,,,,,P4-P5
345,0.000,0.000,190.102,0.668,-111.613,-105.939,-75.974,170.868,152.836,-106.296,43.705,99506.624,31.6,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.241,0.2978,,,,,
346,0.000,0.000,189.104,0.728,-102.981,-106.061,-55.207,176.630,138.942,-112.325,48.577,99505.859,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.190,0.3362,,,,,
347,0.000,0.000,189.922,0.712,-88.520,-98.893,-29.579,182.310,126.298,-108.155,57.509,99505.125,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.231,1.0338,,,,,
348,0.000,0.000,190.727,0.662,-80.393,-95.075,-4.852,186.061,110.772,-106.677,64.730,99504.219,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.272,0.6793,,,,,
349,0.000,0.000,191.768,0.738,-83.999,-105.402,14.541,187.854,90.988,-115.799,66.974,99503.562,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.318,0.7226,,,,,
350,0.000,0.000,189.897,0.768,-91.568,-120.994,32.197,186.446,64.881,-130.636,66.176,99504.672,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.227,0.2644,,,,,
351,0.000,0.000,186.998,0.771,-95.788,-126.274,51.841,185.196,38.744,-135.781,65.584,99506.297,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0517,18.087,0.5095,,,,,
352,0.000,0.000,189.350,0.745,-94.891,-120.143,76.474,186.139,15.857,-131.272,69.357,99507.195,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.202,0.5151,,,,,
353,0.000,0.000,191.409,0.897,-92.071,-105.836,100.303,184.936,-3.271,-118.874,74.592,99505.695,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.294,1.0325,,,,,
354,0.000,0.000,189.240,0.806,-96.679,-98.817,117.931,181.833,-25.282,-118.194,73.923,99504.172,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.194,0.6322,,,,,
355,0.000,0.000,188.852,0.559,-102.666,-90.240,133.998,176.864,-48.292,-120.004,74.082,99502.062,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.187,0.1417,,,,,
356,0.000,0.000,190.840,0.648,-111.479,-79.527,148.494,170.466,-70.843,-120.149,74.397,99501.614,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.279,0.4362,,,,,
357,0.000,0.000,189.264,0.707,-121.061,-69.248,158.454,159.571,-91.733,-120.871,72.052,99503.301,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.200,0.7472,,,,,P3-P4
358,0.000,0.000,188.952,0.787,-126.492,-52.731,168.067,147.045,-109.159,-120.643,72.778,99505.476,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.181,0.4464,,,,,
359,0.000,0.000,191.182,0.799,-131.202,-35.546,176.958,133.436,-123.899,-117.872,74.203,99505.938,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.288,0.3486,,,,,
360,0.000,0.000,191.121,0.869,-136.747,-15.766,182.278,114.011,-135.874,-115.035,76.408,99501.969,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.282,0.8280,,,,,
361,0.000,0.000,190.442,0.747,-144.788,3.277,184.069,91.682,-149.551,-115.267,77.490,99504.422,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.255,0.5893,,,,,
362,0.000,0.000,190.518,0.781,-150.341,24.389,185.555,67.734,-157.988,-116.540,80.388,99504.168,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.257,0.3550,,,,,
363,0.000,0.000,188.489,0.844,-154.514,46.443,184.149,38.328,-163.273,-120.359,81.111,99502.654,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.157,0.9040,,,,,
364,0.000,0.000,188.643,0.743,-153.250,72.086,184.297,10.386,-162.875,-124.153,84.224,99507.409,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.169,0.2673,,,,,
365,0.000,0.000,190.566,0.794,-145.767,97.913,184.253,-17.839,-159.739,-129.187,87.352,99504.875,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.259,0.4398,,,,,
366,0.000,0.000,191.766,0.805,-136.042,122.755,180.809,-49.827,-157.092,-137.901,87.749,99506.742,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.316,0.1496,,,,,
367,0.000,0.000,188.268,0.987,-124.229,140.414,169.153,-81.817,-154.861,-149.798,84.354,99507.284,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.139,0.7125,,,,,
368,0.000,0.000,192.673,0.769,-102.476,160.452,158.211,-107.208,-146.573,-156.203,85.066,99504.633,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0525,18.361,1.1814,,,,,P2-P3
369,0.000,0.000,191.699,0.898,-81.642,171.778,138.529,-130.857,-145.139,-168.015,81.482,99505.086,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.309,0.6899,,,,,
370,0.000,0.000,189.016,0.822,-59.552,178.104,112.795,-152.024,-141.437,-181.036,75.599,99505.070,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.183,1.2247,,,,,
371,0.000,0.000,188.105,0.921,-30.306,182.588,85.405,-164.878,-136.811,-186.994,73.064,99509.203,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.134,0.3741,,,,,
372,0.000,0.000,190.488,0.786,-1.250,185.489,58.580,-172.749,-135.228,-189.876,70.593,99507.375,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.256,0.6896,,,,,
373,0.000,0.000,187.188,0.770,26.156,183.228,25.542,-178.444,-137.688,-193.052,63.293,99507.593,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0517,18.097,1.0970,,,,,
374,0.000,0.000,188.633,0.820,54.004,184.528,-1.499,-175.807,-136.408,-187.784,59.397,99508.079,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.165,0.6308,,,,,
375,0.000,0.000,189.053,0.747,77.748,183.879,-26.198,-171.740,-139.377,-182.293,55.187,99507.926,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.189,0.8199,,,,,
376,0.000,0.000,190.648,0.794,100.501,183.081,-48.293,-164.207,-142.029,-172.898,52.472,99509.273,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.263,0.8953,,,,,
377,0.000,0.000,189.334,0.768,117.778,178.996,-68.586,-158.108,-146.025,-162.519,50.518,99510.613,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.201,0.4238,,,,,
378,0.000,0.000,189.015,0.666,133.396,172.901,-85.946,-150.205,-148.177,-148.427,48.847,99510.062,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.191,1.5725,,,,,
379,0.000,0.000,190.143,0.854,147.809,167.263,-100.656,-143.624,-149.696,-133.644,47.694,99509.461,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.236,1.0401,,,,,
380,0.000,0.000,188.916,0.884,158.410,157.594,-113.976,-139.218,-150.493,-115.332,46.954,99508.146,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.176,1.2357,,,,,P1-P2
381,0.000,0.000,188.065,0.597,168.526,145.612,-125.966,-132.700,-151.997,-93.587,47.275,99507.075,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.149,0.8652,,,,,
382,0.000,0.000,187.075,0.755,174.941,130.503,-135.781,-124.993,-153.108,-70.533,48.339,99508.272,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0517,18.093,0.6667,,,,,
383,0.000,0.000,188.688,0.726,181.068,115.903,-142.033,-119.693,-152.652,-46.137,51.954,99510.539,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.173,0.2271,,,,,
384,0.000,0.000,189.024,0.707,184.615,95.990,-146.037,-116.571,-150.670,-18.810,55.213,99512.116,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.190,0.9107,,,,,
385,0.000,0.000,190.766,0.741,187.358,74.663,-147.381,-114.715,-149.439,7.689,57.506,99511.922,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.272,0.6997,,,,,
386,0.000,0.000,186.607,0.812,185.922,32.338,-173.894,-128.529,-177.642,13.498,23.709,99509.938,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0516,18.068,0.7848,,,,,
387,0.000,0.000,188.252,0.678,187.874,2.253,-174.654,-127.529,-180.023,43.614,23.198,99512.031,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.154,1.2931,,,,,
388,0.000,0.000,190.561,0.735,188.454,-27.131,-169.852,-128.235,-178.754,71.288,22.434,99511.125,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.262,0.8874,,,,,
389,0.000,0.000,189.918,0.817,186.423,-56.137,-164.427,-132.041,-174.734,95.186,20.001,99511.922,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.228,0.3209,,,,,
390,0.000,0.000,191.087,0.746,184.057,-84.485,-160.039,-138.496,-170.276,116.901,16.771,99511.939,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.287,0.2611,,,,,
391,0.000,0.000,188.899,0.679,176.476,-113.412,-158.239,-147.334,-165.360,132.709,10.293,99510.877,31.7,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.185,0.1026,,,,,
392,0.000,0.000,189.237,0.823,167.507,-139.414,-157.283,-155.632,-157.876,146.989,3.864,99510.970,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.195,0.9637,,,,,
393,0.000,0.000,191.060,0.664,158.771,-159.527,-153.618,-161.502,-144.754,161.269,0.507,99509.188,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.290,0.5072,,,,,P1-P6
394,0.000,0.000,189.520,0.755,144.073,-177.630,-151.525,-169.768,-133.317,168.087,-5.716,99511.508,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.212,0.8141,,,,,
395,0.000,0.000,190.144,0.757,128.615,-192.603,-147.603,-177.976,-119.174,174.977,-11.115,99510.188,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.242,1.2686,,,,,
396,0.000,0.000,190.678,0.682,111.128,-200.694,-142.697,-183.622,-98.562,181.822,-11.675,99510.480,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.271,1.1865,,,,,
397,0.000,0.000,190.133,0.758,90.930,-203.129,-137.662,-188.208,-74.385,186.165,-10.920,99510.434,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.241,0.2702,,,,,
398,0.000,0.000,188.833,0.664,66.413,-201.887,-135.289,-192.712,-49.057,186.615,-10.159,99509.119,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.183,0.5911,,,,,
399,0.000,0.000,189.343,0.875,40.007,-197.158,-134.654,-196.118,-17.138,188.426,-5.189,99510.570,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.198,0.4029,,,,,
400,0.000,0.000,189.780,0.609,12.089,-185.889,-130.556,-196.571,18.563,189.015,-0.208,99510.577,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.232,0.1990,,,,,
401,0.000,0.000,192.403,0.950,-18.888,-175.085,-124.159,-192.309,58.056,190.925,5.019,99510.972,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.341,0.6848,,,,,
402,0.000,0.000,190.886,0.942,-53.366,-169.165,-122.209,-184.622,90.644,185.707,4.385,99508.491,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.269,0.9483,,,,,
403,0.000,0.000,189.093,0.758,-87.033,-160.960,-126.947,-167.191,122.638,175.974,3.519,99508.492,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.192,0.4944,,,,,
404,0.000,0.000,191.417,0.670,-114.404,-148.288,-132.399,-140.967,151.531,162.540,4.427,99510.070,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.308,0.8659,,,,,
405,0.000,0.000,190.229,0.654,-141.441,-140.932,-142.942,-117.017,168.127,138.960,-1.689,99505.945,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.252,0.7769,,,,,
406,0.000,0.000,189.706,0.829,-160.386,-127.060,-145.677,-76.358,181.150,107.583,-4.992,99506.966,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.218,0.2871,,,,,
407,0.000,0.000,188.238,0.711,-173.084,-119.827,-148.508,-44.249,186.121,74.492,-9.200,99506.625,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.153,0.9541,,,,,
408,0.000,0.000,189.358,0.700,-178.553,-114.451,-148.990,-9.656,189.076,39.712,-12.425,99505.523,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.208,0.5041,,,,,
409,0.000,0.000,187.662,0.763,-179.831,-114.464,-156.926,18.380,188.281,5.664,-16.781,99506.509,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.123,0.5420,,,,,
410,0.000,0.000,187.774,0.768,-176.404,-116.522,-166.900,45.557,188.561,-25.972,-19.680,99506.161,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.128,0.7332,,,,,
411,0.000,0.000,188.869,0.736,-172.687,-119.387,-172.805,69.873,187.015,-52.179,-21.453,99505.270,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.183,0.5053,,,,,
412,0.000,0.000,190.085,0.812,-168.722,-120.655,-172.941,93.189,185.184,-76.935,-22.662,99505.147,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.238,0.6509,,,,,
413,0.000,0.000,191.543,0.733,-161.324,-121.599,-165.159,115.651,182.009,-96.365,-19.519,99504.814,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.312,0.2948,,,,,
414,0.000,0.000,190.978,0.718,-158.490,-126.846,-155.902,133.435,174.614,-117.797,-17.446,99502.414,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.286,0.6277,,,,,
415,0.000,0.000,190.293,0.775,-151.632,-128.627,-142.792,148.271,167.055,-131.218,-13.009,99502.719,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.250,0.4874,,,,,
416,0.000,0.000,190.907,0.758,-140.828,-127.228,-128.992,159.202,158.629,-136.882,-8.692,99502.576,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.280,0.4360,,,,,P4-P5
417,0.000,0.000,191.530,0.718,-130.882,-127.003,-107.296,170.642,147.565,-143.109,-0.678,99501.198,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.312,0.3689,,,,,
418,0.000,0.000,190.184,0.659,-121.480,-126.865,-84.021,177.758,132.320,-147.031,7.306,99500.962,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.251,0.6364,,,,,
419,0.000,0.000,190.758,0.793,-108.151,-118.351,-57.105,182.750,115.670,-142.927,16.461,99502.511,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.272,0.3832,,,,,
420,0.000,0.000,191.654,0.898,-84.137,-92.126,-24.008,186.038,99.532,-118.072,30.834,99502.367,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.310,0.7025,,,,,
421,0.000,0.000,192.698,0.572,-90.980,-104.287,1.171,190.239,79.592,-124.235,35.338,99502.078,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0525,18.375,0.2763,,,,,
422,0.000,0.000,191.128,0.695,-107.723,-146.285,15.422,189.004,49.742,-154.623,29.380,99503.250,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.294,0.3797,,,,,
423,0.000,0.000,190.062,0.710,-106.260,-153.398,39.628,188.495,20.292,-157.139,30.947,99503.062,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.242,0.2284,,,,,
424,0.000,0.000,190.010,0.693,-109.019,-150.944,65.849,187.799,-7.474,-152.465,33.075,99501.317,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.241,0.9450,,,,,
425,0.000,0.000,190.899,0.708,-114.759,-143.984,90.070,187.241,-31.838,-145.470,35.416,99501.961,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.283,0.4057,,,,,
426,0.000,0.000,192.206,0.773,-117.751,-133.963,112.524,185.017,-54.600,-137.971,38.301,99499.387,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.343,0.3853,,,,,
427,0.000,0.000,188.700,0.787,-127.741,-129.033,128.111,176.915,-83.285,-141.803,33.262,99497.515,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.174,0.2509,,,,,
428,0.000,0.000,191.129,0.743,-132.625,-117.912,143.313,170.637,-105.557,-141.426,32.944,99499.019,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.293,0.4741,,,,,
429,0.000,0.000,191.494,0.580,-135.581,-102.336,156.967,160.248,-125.719,-141.409,33.497,99498.641,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.318,0.7812,,,,,P3-P4
430,0.000,0.000,190.550,0.794,-142.341,-88.544,167.242,145.645,-148.802,-142.926,30.464,99498.913,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.262,0.1179,,,,,
431,0.000,0.000,191.235,0.660,-148.310,-69.926,176.366,127.821,-168.361,-141.224,31.314,99499.342,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.302,0.4433,,,,,
432,0.000,0.000,190.408,0.841,-150.160,-47.162,182.864,107.290,-181.860,-136.257,34.792,99497.750,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.254,0.4052,,,,,
433,0.000,0.000,188.932,0.747,-153.511,-25.137,185.240,83.761,-191.258,-134.096,37.116,99499.070,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.187,0.3595,,,,,
434,0.000,0.000,189.927,0.806,-160.722,-0.870,187.838,57.225,-198.288,-133.729,40.402,99498.094,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.232,0.5728,,,,,
435,0.000,0.000,190.422,0.849,-175.698,25.142,189.165,27.707,-199.910,-133.395,46.203,99500.727,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.254,0.5980,,,,,
436,0.000,0.000,189.206,0.647,-185.707,51.403,187.604,-6.170,-198.917,-143.192,48.697,99499.367,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.205,0.2897,,,,,
437,0.000,0.000,190.292,0.698,-189.112,81.630,187.187,-43.494,-196.617,-155.001,51.659,99500.398,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.255,0.5303,,,,,
438,0.000,0.000,188.401,0.711,-182.530,107.847,180.369,-81.267,-192.494,-164.949,50.770,99498.995,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.163,0.5744,,,,,
439,0.000,0.000,188.222,0.697,-170.456,133.718,169.630,-120.700,-187.268,-178.553,49.265,99498.855,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.155,0.3665,,,,,
440,0.000,0.000,188.783,0.688,-148.222,154.436,151.798,-155.919,-180.870,-186.753,45.102,99500.492,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.183,0.6124,,,,,P2-P3
441,0.000,0.000,189.579,0.798,-119.505,170.664,130.093,-182.696,-171.466,-195.975,43.532,99499.455,31.8,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.216,0.2050,,,,,
