侧滑角α,迎角β,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
30.000,30.000,0.242,4118.933,-31.983,3208.100,3138.650,-848.583,-2851.567,-2941.517,-1111.617,2140.483,0.510,2.071,-0.236,-0.292,98892.000,28.000
35.000,30.000,0.242,4119.800,-32.450,2991.683,3341.700,-570.417,-2817.950,-2992.450,-1424.567,2110.233,0.578,1.672,-0.187,-0.299,98887.000,28.000
40.000,30.000,0.242,4124.567,-30.683,2743.417,3511.417,-262.883,-2761.633,-3014.083,-1704.433,2093.067,0.625,1.324,-0.148,-0.306,98900.000,28.000
45.000,30.000,0.242,4127.100,-32.033,2461.833,3645.183,71.600,-2677.250,-3013.783,-1955.717,2077.967,0.659,1.005,-0.116,-0.312,98885.000,28.000
50.000,30.000,0.242,4127.767,-32.650,2154.317,3741.983,421.517,-2561.033,-2993.117,-2173.067,2075.267,0.679,0.706,-0.093,-0.317,98887.000,28.000
55.000,30.000,0.242,4125.667,-29.250,1813.567,3807.667,801.250,-2398.800,-2941.267,-2353.483,2084.050,0.689,0.405,-0.077,-0.322,98888.000,28.000
60.000,30.000,0.242,4121.617,-34.850,1455.483,3831.050,1174.200,-2208.750,-2873.167,-2489.933,2104.667,0.686,0.112,-0.070,-0.325,98886.000,28.000
65.000,30.000,0.242,4128.850,-31.267,1087.167,3825.467,1556.467,-1981.583,-2793.233,-2574.067,2141.700,0.673,-0.187,-0.073,-0.325,98887.167,28.000
70.000,30.000,0.242,4125.483,-27.917,701.383,3778.583,1931.200,-1727.467,-2713.100,-2622.250,2169.383,0.654,-0.499,-0.084,-0.324,98884.000,28.000
75.000,30.000,0.242,4126.250,-34.017,300.867,3685.683,2292.200,-1448.900,-2642.650,-2647.633,2198.600,0.622,-0.833,-0.106,-0.320,98889.000,28.000
80.000,30.000,0.242,4123.900,-33.317,-94.083,3546.067,2630.267,-1147.700,-2565.483,-2652.217,2218.500,0.583,-1.196,-0.139,-0.313,98886.667,28.000
85.000,30.000,0.242,4122.333,-37.567,-483.067,3348.617,2934.783,-819.500,-2480.433,-2646.800,2232.367,0.526,-1.610,-0.186,-0.304,98887.000,28.000
90.000,30.000,0.242,4122.800,-34.200,-855.000,3100.767,3200.050,-470.317,-2391.400,-2635.533,2236.017,0.448,-2.103,-0.246,-0.290,98883.000,28.000
30.000,35.000,0.241,4095.800,-33.117,3342.350,3248.483,-1356.283,-3327.700,-3388.633,-1586.033,1275.883,0.875,2.083,-0.205,-0.249,98884.167,28.000
35.000,35.000,0.242,4097.967,-31.200,3095.300,3479.100,-1059.400,-3302.483,-3387.233,-1921.200,1228.583,0.914,1.688,-0.150,-0.254,98878.000,28.000
40.000,35.000,0.242,4097.633,-30.650,2813.300,3659.800,-737.233,-3265.833,-3378.850,-2215.617,1196.867,0.939,1.354,-0.106,-0.259,98892.000,28.000
45.000,35.000,0.241,4094.600,-34.933,2494.300,3806.283,-384.233,-3223.283,-3379.117,-2489.267,1178.100,0.955,1.046,-0.070,-0.264,98886.000,28.000
50.000,35.000,0.241,4096.100,-32.000,2147.133,3913.267,5.050,-3127.817,-3355.217,-2708.183,1173.833,0.966,0.755,-0.044,-0.268,98891.000,28.000
55.000,35.000,0.241,4094.817,-31.600,1770.250,3981.383,418.133,-2991.733,-3313.417,-2888.117,1187.050,0.968,0.468,-0.027,-0.273,98885.000,28.000
