滚转角φ ,俯仰角θ,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
115,35,0.241,4073.65,-31.517,-2738.667,992.683,3988.65,1268.967,-2382.333,-2582.15,1302.7,0.94,-0.097,-0.021,-0.283,98884,28
120,35,0.241,4068.417,-34.35,-2821.917,509.817,3976.15,1668.483,-2228.917,-2548.25,1261.083,0.94,-0.401,-0.022,-0.274,98886,28
125,35,0.241,4068.467,-32.217,-2849.033,41.6,3927.917,2054,-2045.833,-2556.85,1222.317,0.939,-0.699,-0.034,-0.263,98883,28
130,35,0.241,4064.15,-36.883,-2819.767,-384.617,3836.883,2404.183,-1833.367,-2556.65,1207.717,0.93,-0.986,-0.055,-0.255,98891,28
135,35,0.241,4067.033,-34.7,-2739.267,-780.883,3706.8,2727.467,-1599.6,-2544.717,1204.033,0.916,-1.283,-0.088,-0.246,98885,28
140,35,0.241,4064.667,-33.333,-2596.35,-1130.417,3534.9,3010.467,-1349.617,-2518.867,1207.367,0.897,-1.596,-0.129,-0.238,98872,28
145,35,0.241,4065.283,-32.383,-2446.817,-1396.283,3322.6,3264.617,-1051.9,-2448.883,1241.2,0.871,-1.951,-0.181,-0.236,98882,28
150,35,0.241,4063.017,-33.017,-2319.733,-1614.783,3072.55,3477.7,-727.25,-2327.25,1291.933,0.832,-2.378,-0.242,-0.235,98884,28
90,40,0.243,4131.6,-29.4,-1881.117,3324.833,3416.167,-1441.567,-3329.233,-3116.6,592.183,1.141,1.926,-0.172,-0.233,98872,28
95,40,0.243,4135.633,-31.2,-2385.283,2873.617,3739.317,-977.1,-3379.033,-3145.833,565.617,1.137,1.38,-0.095,-0.235,98877.333,28
100,40,0.243,4135.267,-33.683,-2789.933,2340.9,3960.25,-465.817,-3359.383,-3154.8,528.517,1.135,0.929,-0.042,-0.233,98878,28
105,40,0.243,4133.133,-36.25,-3046.333,1756.65,4082.117,74.733,-3253.817,-3096.8,480.733,1.137,0.531,-0.012,-0.228,98870,28
110,40,0.243,4131.383,-39.183,-3281.983,1156.617,4125,595.167,-3140.75,-3052.683,420.55,1.14,0.173,-0.002,-0.219,98877,28
115,40,0.243,4132,-34.8,-3415.083,561.55,4131.033,1096.383,-3008.883,-3036.35,360.65,1.142,-0.162,0,-0.207,98880.5,28
120,40,0.243,4130.567,-34.65,-3468.667,-10.917,4114.717,1556.567,-2875.05,-3016.017,290.383,1.144,-0.469,-0.004,-0.194,98873,28
125,40,0.243,4134.983,-31.933,-3425.167,-529.217,4057.733,1984.817,-2679.6,-2991.65,245.317,1.145,-0.755,-0.019,-0.182,98872,28
130,40,0.242,4126.217,-37.2,-3320.983,-1010.8,3949.867,2376.083,-2455.567,-2961.817,217.9,1.142,-1.037,-0.042,-0.173,98872,28
135,40,0.243,4133.133,-33.983,-3170.617,-1442.017,3796.65,2730.817,-2224.85,-2958.1,215.8,1.136,-1.324,-0.081,-0.163,98875,28
140,40,0.243,4137.867,-28.133,-2904.333,-1797.867,3604.083,3048.617,-1952.45,-2908.317,241.683,1.129,-1.627,-0.128,-0.157,98872,28
145,40,0.243,4141.4,-29.483,-2659.117,-2086.15,3368.533,3331.8,-1641.683,-2815.667,294.1,1.12,-1.973,-0.185,-0.156,98876,28
150,40,0.243,4132.883,-35.35,-2653.417,-2290.85,3088.833,3573.6,-1300.8,-2696.583,346.667,1.12,-2.396,-0.25,-0.162,98877,28
90,45,0.242,4102.817,-31.633,-2400.7,3231.733,3310.083,-1973.567,-3534.7,-3130.25,-323.933,1.355,1.942,-0.192,-0.16,98868,28
95,45,0.242,4099.45,-34.017,-3009.633,2671.167,3693.633,-1483.317,-3800.75,-3367.733,-383.633,1.315,1.34,-0.098,-0.152,98863,28
100,45,0.242,4104.767,-29.2,-3397.55,2019.75,3949.45,-887.367,-3801.467,-3517.8,-437.483,1.297,0.859,-0.038,-0.144,98864,28
105,45,0.242,4096.483,-33.983,-3703.167,1312.333,4066.267,-292.667,-3753.467,-3501.783,-514.45,1.288,0.451,-0.007,-0.132,98867,28
110,45,0.241,4091.083,-34.283,-3920.45,596.367,4090.933,277.7,-3691.4,-3512.317,-613.283,1.287,0.087,0,-0.114,98866,28
115,45,0.241,4093.817,-28.55,-4007.867,-91.4,4088.3,811.95,-3603.483,-3499.65,-708.217,1.287,-0.242,-0.001,-0.094,98867,28
120,45,0.241,4088.517,-35.783,-3972.733,-719.383,4041.633,1309.85,-3442.3,-3440.283,-788.8,1.289,-0.542,-0.011,-0.08,98866.667,28
125,45,0.241,4092.15,-33.467,-3866.233,-1281.6,3942.417,1766.483,-3243.883,-3402.15,-846.9,1.294,-0.824,-0.036,-0.067,98876,28
130,45,0.241,4094.317,-32.65,-3727.4,-1784.683,3787.633,2168.7,-3044.117,-3419.317,-890.817,1.301,-1.099,-0.074,-0.054,98865,28
135,45,0.241,4085.783,-35.833,-3561.45,-2208.15,3594.067,2535.9,-2822.683,-3412.983,-893.45,1.308,-1.383,-0.119,-0.048,98871,28
140,45,0.241,4094.417,-31.933,-3317.317,-2535.4,3369.933,2865.183,-2538.333,-3309.3,-854.9,1.318,-1.685,-0.176,-0.048,98864.667,28
145,45,0.241,4087.05,-36.55,-2977.983,-2743.7,3115.767,3169.9,-2193.383,-3130.15,-767.933,1.338,-2.037,-0.236,-0.061,98867,28
150,45,0.241,4089.2,-30.333,-2852.9,-2894.483,2840.383,3435.033,-1840.717,-2989.25,-666.75,1.365,-2.463,-0.303,-0.073,98870,28
