滚转角φ ,俯仰角θ,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
90,30,0.242,4124.867,-34.067,-852.467,3101.417,3198.733,-471.167,-2389.483,-2632.933,2235.533,0.511,1.897,-0.223,-0.324,98885,28
95,30,0.242,4127.25,-31.783,-1207.767,2805.483,3420.133,-111.2,-2312.217,-2637.817,2230.717,0.574,1.407,-0.17,-0.332,98881,28
100,30,0.242,4120.417,-36.983,-1518.8,2460.083,3582.45,259.167,-2224.217,-2630.65,2216.7,0.614,0.99,-0.129,-0.336,98892.667,28
105,30,0.242,4126.517,-35.75,-1770,2086.1,3704.017,644.567,-2108.917,-2606.233,2199.7,0.643,0.616,-0.102,-0.337,98885,28
110,30,0.242,4126.65,-36.533,-2024.683,1680.283,3778.05,1027.467,-1983.833,-2670.05,2171.4,0.663,0.269,-0.084,-0.334,98886,28
115,30,0.242,4125,-35.767,-2245.517,1254.75,3813.017,1402.083,-1849.033,-2702.05,2145.483,0.671,-0.059,-0.075,-0.328,98881,28
120,30,0.242,4117.267,-39.95,-2387.133,834.983,3804.35,1754.817,-1689.883,-2639.883,2115.3,0.673,-0.367,-0.075,-0.321,98883,28
125,30,0.242,4118.967,-37.633,-2449.783,430.5,3765.1,2090.317,-1505.217,-2535.35,2096.133,0.666,-0.663,-0.085,-0.312,98885,28
130,30,0.242,4122.433,-32.367,-2418,46.233,3686.45,2405.15,-1304.4,-2417.217,2084.15,0.651,-0.959,-0.105,-0.303,98887,28
135,30,0.242,4121.917,-33.9,-2340.167,-302.5,3566.683,2683.683,-1084.633,-2323.317,2086.267,0.623,-1.257,-0.134,-0.295,98888,28
140,30,0.242,4122.483,-32.967,-2253.367,-624.4,3412.4,2941.933,-836.983,-2244.25,2094.75,0.585,-1.582,-0.171,-0.287,98887,28
145,30,0.242,4122.233,-33.967,-2163.467,-912.033,3219.833,3170.183,-566.867,-2156.3,2111.1,0.53,-1.953,-0.217,-0.28,98887,28
150,30,0.242,4122.55,-35.733,-2132.55,-1163.383,2990.483,3360.217,-270.75,-2045.683,2126.817,0.456,-2.391,-0.272,-0.273,98884,28
90,35,0.241,4082.367,-31.317,-1325.917,3236.867,3327.433,-922.383,-2863.683,-2962.283,1440.033,0.87,1.917,-0.184,-0.289,98882,28
95,35,0.241,4080.567,-33.933,-1750.917,2868.267,3588.183,-511.133,-2836.217,-2962.133,1423.767,0.898,1.402,-0.12,-0.295,98882,28
100,35,0.241,4074.667,-31.533,-2110.417,2443.517,3779.6,-69.683,-2770.15,-2927.583,1401.517,0.917,0.969,-0.072,-0.297,98886,28
105,35,0.241,4078.9,-34.983,-2371.383,1983.4,3903.283,386.767,-2647.833,-2781.817,1379.517,0.928,0.587,-0.043,-0.297,98885,28
110,35,0.241,4069.75,-36.5,-2587.667,1488.2,3963.717,835.75,-2521.75,-2647.617,1338.967,0.937,0.233,-0.026,-0.292,98878,28
