侧滑角α,迎角β,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
330.000,30.000,0.242,4117.517,-30.133,3260.217,-874.900,-2771.350,-2918.583,-1093.750,2973.950,2168.100,0.494,1.741,-0.207,-0.260,98884.000,28.000
335.000,30.000,0.242,4120.917,-34.633,3430.250,-558.983,-2692.367,-2898.550,-1357.950,2725.217,2200.983,0.524,1.399,-0.166,-0.269,98891.000,28.000
340.000,30.000,0.242,4120.117,-29.967,3563.917,-212.500,-2609.933,-2873.433,-1592.500,2446.833,2225.900,0.547,1.087,-0.134,-0.276,98886.333,28.000
345.000,30.000,0.242,4118.300,-34.117,3667.633,157.983,-2506.950,-2844.733,-1808.567,2137.333,2257.500,0.560,0.785,-0.109,-0.285,98892.000,28.000
350.000,30.000,0.242,4120.617,-29.117,3736.933,540.717,-2380.517,-2810.667,-1998.800,1800.550,2281.533,0.567,0.491,-0.092,-0.289,98888.000,28.000
355.000,30.000,0.242,4118.600,-33.067,3772.533,915.717,-2244.450,-2785.517,-2166.617,1450.650,2294.817,0.571,0.207,-0.083,-0.293,98885.500,28.000
0.000,30.000,0.242,4118.083,-32.267,3782.417,1288.767,-2099.950,-2776.017,-2314.850,1086.917,2299.800,0.571,-0.078,-0.081,-0.294,98888.000,28.000
5.000,30.000,0.242,4116.967,-31.333,3766.967,1646.133,-1961.617,-2795.583,-2444.733,713.100,2287.633,0.572,-0.361,-0.084,-0.292,98884.000,28.000
10.000,30.000,0.242,4120.700,-28.633,3725.517,1994.283,-1800.467,-2823.767,-2548.683,338.550,2271.650,0.568,-0.647,-0.095,-0.288,98888.167,28.000
15.000,30.000,0.242,4121.517,-33.867,3651.800,2315.467,-1608.050,-2843.133,-2650.633,-35.617,2244.917,0.560,-0.936,-0.113,-0.282,98888.000,28.000
20.000,30.000,0.242,4121.617,-31.300,3546.017,2623.883,-1370.517,-2846.150,-2749.617,-408.650,2212.133,0.547,-1.244,-0.139,-0.274,98883.000,28.000
25.000,30.000,0.242,4121.817,-35.767,3397.117,2904.167,-1115.283,-2866.067,-2866.533,-780.167,2174.483,0.524,-1.578,-0.174,-0.264,98889.667,28.000
30.000,30.000,0.242,4122.583,-30.817,3210.833,3137.100,-853.067,-2852.167,-2941.767,-1108.517,2142.683,0.486,-1.933,-0.220,-0.252,98885.000,28.000
330.000,35.000,0.242,4119.550,-23.583,3431.700,-1289.150,-3217.633,-3332.833,-1670.200,3105.117,1340.167,0.829,1.741,-0.166,-0.225,98895.000,28.000
335.000,35.000,0.242,4112.150,-32.033,3617.467,-959.750,-3140.400,-3295.517,-1950.133,2818.033,1382.550,0.831,1.405,-0.119,-0.232,98889.000,28.000
340.000,35.000,0.242,4105.783,-31.233,3763.967,-564.717,-3075.200,-3254.117,-2191.417,2494.817,1434.117,0.832,1.093,-0.083,-0.241,98891.000,28.000
345.000,35.000,0.242,4111.800,-30.383,3873.083,-148.933,-2997.150,-3214.367,-2407.450,2143.400,1484.150,0.831,0.797,-0.058,-0.248,98895.000,28.000
350.000,35.000,0.242,4107.367,-31.533,3945.950,287.667,-2893.483,-3177.700,-2607.900,1750.067,1516.200,0.830,0.500,-0.039,-0.254,98888.000,28.000
355.000,35.000,0.242,4105.950,-32.517,3982.800,720.083,-2767.100,-3156.900,-2779.150,1343.500,1536.667,0.829,0.211,-0.030,-0.257,98887.000,28.000
0.000,35.000,0.242,4103.200,-32.383,3987.933,1157.367,-2604.750,-3154.267,-2925.483,909.967,1546.350,0.826,-0.084,-0.028,-0.258,98895.000,28.000
5.000,35.000,0.242,4103.333,-33.683,3969.517,1580.200,-2427.900,-3170.267,-3044.033,469.433,1530.183,0.828,-0.377,-0.032,-0.256,98885.000,28.000
