侧滑角α,迎角β,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
10.000,-20.000,0.243,4138.700,-34.083,-1602.933,-1610.867,-41.217,2850.117,2669.500,-399.933,3179.850,0.789,-1.574,-0.230,-0.083,98880.000,28.000
15.000,-20.000,0.243,4138.100,-36.333,-1757.533,-1889.933,-698.717,2628.083,3158.967,-18.083,2908.467,1.238,-1.640,-0.295,-0.066,98884.333,28.000
20.000,-20.000,0.243,4139.883,-20.183,-1998.750,-2141.317,-1311.700,2344.217,3568.683,258.017,2527.183,1.746,-1.776,-0.388,-0.034,98897.000,28.000
25.000,-20.000,0.243,4158.317,8.117,-2282.933,-2206.850,-1903.967,1993.167,3878.467,522.783,2055.900,2.391,-1.980,-0.507,0.002,98925.000,28.000
30.000,-20.000,0.243,4157.450,9.583,-2610.183,-2415.717,-2542.000,1532.067,4067.867,719.867,1455.950,3.381,-2.305,-0.651,0.052,98924.000,28.000
-30.000,-15.000,0.243,4141.100,-41.783,-2495.667,1189.717,3957.983,1327.617,-2137.117,-2589.300,1762.817,-3.021,-1.919,-0.569,0.020,98884.000,28.000
-25.000,-15.000,0.243,4138.950,-34.050,-2238.667,950.250,3724.617,1730.283,-1545.550,-2637.900,2365.167,-2.160,-1.662,-0.425,-0.007,98881.000,28.000
-20.000,-15.000,0.243,4139.650,-35.083,-1889.300,637.083,3365.250,2045.533,-919.183,-2232.267,2889.183,-1.518,-1.459,-0.300,-0.049,98878.000,28.000
-15.000,-15.000,0.243,4137.633,-35.300,-1707.783,235.517,2902.150,2273.000,-347.167,-1876.650,3266.783,-1.025,-1.342,-0.209,-0.068,98883.333,28.000
-10.000,-15.000,0.243,4139.933,-36.600,-1501.267,-194.250,2346.717,2421.983,264.833,-1389.733,3532.767,-0.590,-1.251,-0.145,-0.087,98885.000,28.000
-5.000,-15.000,0.243,4136.383,-33.517,-1262.167,-645.200,1692.883,2487.333,879.700,-816.417,3698.700,-0.172,-1.162,-0.105,-0.101,98879.000,28.000
0.000,-15.000,0.243,4138.183,-33.900,-970.150,-934.400,1008.067,2475.783,1504.767,-244.583,3773.167,0.208,-1.069,-0.087,-0.122,98887.000,28.000
5.000,-15.000,0.243,4140.233,-31.800,-1121.850,-1016.400,472.183,2420.867,1971.217,-359.683,3722.333,0.374,-1.092,-0.100,-0.102,98882.000,28.000
10.000,-15.000,0.243,4136.450,-37.067,-1390.833,-1513.067,-211.133,2267.300,2563.433,93.983,3553.750,0.778,-1.136,-0.140,-0.081,98889.333,28.000
15.000,-15.000,0.242,4130.500,-33.633,-1530.200,-1881.000,-855.050,2021.200,3060.483,547.250,3285.283,1.198,-1.160,-0.203,-0.063,98889.000,28.000
20.000,-15.000,0.243,4145.283,-17.017,-1699.300,-2192.233,-1309.767,1754.267,3482.733,942.117,2913.183,1.664,-1.252,-0.296,-0.043,98901.000,28.000
25.000,-15.000,0.243,4153.683,9.750,-1951.250,-2439.683,-1869.100,1408.683,3809.183,1240.467,2419.200,2.264,-1.377,-0.419,-0.006,98922.000,28.000
30.000,-15.000,0.243,4157.417,7.933,-2256.750,-2350.200,-2456.817,949.800,4012.683,1466.983,1816.133,3.090,-1.535,-0.564,0.027,98933.000,28.000
-30.000,-10.000,0.243,4139.267,-31.417,-2001.750,1939.633,3818.667,743.217,-2190.517,-2618.600,2021.733,-2.943,-1.254,-0.508,0.005,98883.000,28.000
-25.000,-10.000,0.243,4141.550,-33.983,-1679.367,1684.850,3570.950,1138.650,-1620.333,-2507.250,2652.417,-2.121,-1.097,-0.357,-0.032,98882.000,28.000
-20.000,-10.000,0.243,4138.433,-33.467,-1410.567,1328.450,3193.500,1430.617,-1075.817,-2161.433,3176.200,-1.514,-0.973,-0.231,-0.060,98883.000,28.000
-15.000,-10.000,0.243,4144.217,-33.733,-1207.217,908.683,2733.133,1642.283,-551.917,-1741.533,3559.733,-1.050,-0.890,-0.140,-0.079,98884.000,28.000
-10.000,-10.000,0.243,4143.350,-34.583,-999.217,426.650,2167.867,1783.817,44.150,-1232.133,3816.700,-0.633,-0.829,-0.078,-0.096,98888.000,28.000
-5.000,-10.000,0.243,4139.850,-33.617,-805.650,-93.217,1523.850,1850.917,658.000,-670.383,3954.283,-0.235,-0.777,-0.044,-0.106,98887.000,28.000
0.000,-10.000,0.243,4135.900,-35.200,-680.367,-522.683,842.800,1843.233,1256.150,-153.000,4004.650,0.127,-0.730,-0.031,-0.112,98878.000,28.000
5.000,-10.000,0.243,4133.050,-36.567,-672.117,-819.050,256.283,1766.200,1766.683,179.467,3970.750,0.407,-0.706,-0.039,-0.108,98881.000,28.000
10.000,-10.000,0.243,4140.833,-32.033,-877.683,-1299.433,-419.600,1599.583,2354.267,641.250,3824.100,0.780,-0.721,-0.076,-0.087,98877.000,28.000
15.000,-10.000,0.243,4134.233,-34.017,-1049.983,-1745.000,-1015.650,1351.400,2856.783,1141.683,3559.000,1.182,-0.731,-0.138,-0.070,98881.000,28.000
20.000,-10.000,0.243,4141.950,-16.500,-1213.000,-2141.500,-1390.300,1095.967,3286.667,1586.667,3186.883,1.627,-0.790,-0.230,-0.053,98895.000,28.000
25.000,-10.000,0.243,4154.200,9.617,-1424.333,-2454.500,-1863.850,783.900,3630.567,1923.267,2693.300,2.197,-0.863,-0.352,-0.022,98922.000,28.000
30.000,-10.000,0.243,4157.117,8.400,-1785.500,-2755.400,-2446.900,337.417,3862.783,2162.800,2060.283,2.995,-0.963,-0.505,0.027,98920.000,28.000
-30.000,-5.000,0.243,4148.867,-36.533,-1486.517,2591.450,3577.350,118.900,-2306.700,-2680.167,2178.050,-2.916,-0.690,-0.471,-0.001,98880.000,28.000
-25.000,-5.000,0.243,4144.450,-36.950,-1103.983,2318.800,3312.450,514.217,-1741.050,-2357.517,2828.267,-2.103,-0.605,-0.315,-0.046,98881.000,28.000
-20.000,-5.000,0.243,4143.717,-34.533,-835.967,1952.083,2934.350,786.633,-1262.867,-2077.183,3349.917,-1.532,-0.542,-0.190,-0.068,98881.833,28.000
-15.000,-5.000,0.243,4144.150,-32.617,-590.183,1509.833,2458.967,975.000,-776.183,-1630.267,3736.583,-1.079,-0.482,-0.098,-0.086,98885.000,28.000
-10.000,-5.000,0.243,4139.067,-40.917,-386.983,995.567,1896.667,1104.733,-209.017,-1099.917,3982.917,-0.674,-0.442,-0.037,-0.102,98871.000,28.000
-5.000,-5.000,0.243,4142.183,-28.450,-212.233,444.933,1266.517,1185.350,393.783,-526.983,4092.533,-0.290,-0.412,-0.012,-0.109,98882.000,28.000
0.000,-5.000,0.242,4127.933,-29.917,-138.333,-97.767,627.250,1188.550,963.133,21.200,4109.633,0.071,-0.391,-0.004,-0.110,98875.000,28.000
5.000,-5.000,0.242,4123.600,-35.367,-102.583,-701.450,-7.017,1071.900,1509.100,635.733,4082.183,0.448,-0.355,-0.010,-0.105,98876.000,28.000
10.000,-5.000,0.242,4120.833,-35.267,-291.417,-1106.833,-586.300,892.750,2025.483,1119.433,3954.550,0.773,-0.350,-0.040,-0.091,98873.000,28.000
15.000,-5.000,0.242,4112.300,-36.483,-461.883,-1567.667,-1100.650,667.817,2529.217,1645.300,3700.400,1.157,-0.352,-0.099,-0.078,98883.000,28.000
20.000,-5.000,0.242,4120.217,-17.300,-630.017,-1929.133,-1464.083,419.700,2960.817,2116.150,3330.633,1.585,-0.368,-0.191,-0.064,98893.000,28.000
25.000,-5.000,0.242,4120.967,8.183,-802.317,-2229.817,-1862.950,127.867,3308.067,2485.850,2837.450,2.141,-0.381,-0.312,-0.040,98918.000,28.000
30.000,-5.000,0.242,4118.300,5.533,-1171.850,-2682.967,-2423.433,-294.550,3552.467,2734.500,2193.750,2.935,-0.421,-0.468,0.013,98918.000,28.000
-30.000,0.000,0.241,4090.383,-35.300,-851.450,3087.550,3171.367,-485.183,-2382.667,-2625.683,2202.183,-2.935,-0.159,-0.458,-0.005,98872.000,28.000
-25.000,0.000,0.241,4089.017,-32.983,-463.783,2814.833,2913.317,-102.450,-1867.100,-2281.517,2843.767,-2.132,-0.154,-0.302,-0.049,98881.000,28.000
-20.000,0.000,0.241,4084.750,-39.100,-151.967,2448.517,2536.733,134.850,-1438.133,-1934.183,3359.567,-1.560,-0.125,-0.176,-0.074,98876.000,28.000
-15.000,0.000,0.241,4082.567,-32.983,116.767,1998.050,2064.717,299.800,-996.267,-1458.817,3736.117,-1.107,-0.088,-0.084,-0.090,98880.000,28.000
-10.000,0.000,0.241,4076.333,-38.383,307.383,1471.883,1520.383,422.283,-495.000,-927.333,3970.050,-0.711,-0.066,-0.026,-0.102,98884.000,28.000
-5.000,0.000,0.241,4071.650,-34.167,452.817,895.150,922.017,502.017,45.400,-324.000,4065.000,-0.332,-0.045,-0.002,-0.110,98872.000,28.000
0.000,0.000,0.241,4073.067,-32.700,537.183,282.783,313.983,519.900,573.967,294.967,4075.350,0.043,-0.025,0.001,-0.110,98880.000,28.000
5.000,0.000,0.241,4067.033,-30.217,496.900,-339.200,-218.317,409.583,1090.433,941.700,4055.983,0.409,-0.009,-0.003,-0.104,98880.000,28.000
10.000,0.000,0.240,4059.233,-40.483,394.433,-989.517,-822.550,194.417,1600.933,1517.817,3942.783,0.785,0.014,-0.028,-0.087,98874.000,28.000
15.000,0.000,0.240,4060.383,-29.233,213.633,-1551.400,-1269.183,-9.000,2093.683,2049.133,3699.367,1.167,0.011,-0.088,-0.069,98876.000,28.000
20.000,0.000,0.241,4064.483,-20.933,8.283,-1884.767,-1610.300,-234.167,2522.150,2524.183,3332.667,1.585,0.023,-0.179,-0.059,98892.000,28.000
25.000,0.000,0.241,4073.350,7.567,-196.833,-2067.300,-1922.533,-499.500,2870.567,2915.800,2853.500,2.114,0.063,-0.300,-0.043,98918.000,28.000
30.000,0.000,0.241,4073.533,7.067,-562.700,-2522.333,-2439.667,-939.650,3113.500,3186.433,2212.783,2.902,0.111,-0.458,0.008,98914.000,28.000
-30.000,5.000,0.240,4054.000,-32.967,-220.483,3460.583,2675.483,-1084.083,-2535.000,-2643.583,2129.333,-2.987,0.366,-0.471,0.006,98872.000,28.000
