滚转角φ ,俯仰角θ,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
85,30,0.242,4122.333,-37.567,-483.067,3348.617,2934.783,-819.5,-2480.433,-2646.8,2232.367,0.526,-1.61,-0.186,-0.304,98887,28
90,30,0.242,4122.8,-34.2,-855,3100.767,3200.05,-470.317,-2391.4,-2635.533,2236.017,0.448,-2.103,-0.246,-0.29,98883,28
30,35,0.241,4095.8,-33.117,3342.35,3248.483,-1356.283,-3327.7,-3388.633,-1586.033,1275.883,0.875,2.083,-0.205,-0.249,98884.167,28
35,35,0.242,4097.967,-31.2,3095.3,3479.1,-1059.4,-3302.483,-3387.233,-1921.2,1228.583,0.914,1.688,-0.15,-0.254,98878,28
40,35,0.242,4097.633,-30.65,2813.3,3659.8,-737.233,-3265.833,-3378.85,-2215.617,1196.867,0.939,1.354,-0.106,-0.259,98892,28
45,35,0.241,4094.6,-34.933,2494.3,3806.283,-384.233,-3223.283,-3379.117,-2489.267,1178.1,0.955,1.046,-0.07,-0.264,98886,28
50,35,0.241,4096.1,-32,2147.133,3913.267,5.05,-3127.817,-3355.217,-2708.183,1173.833,0.966,0.755,-0.044,-0.268,98891,28
55,35,0.241,4094.817,-31.6,1770.25,3981.383,418.133,-2991.733,-3313.417,-2888.117,1187.05,0.968,0.468,-0.027,-0.273,98885,28
60,35,0.241,4092.483,-31.55,1365.6,4015.383,856.467,-2810.167,-3240.067,-3017.3,1220.4,0.962,0.175,-0.019,-0.277,98887,28
65,35,0.241,4094.85,-29.25,936.817,4017.983,1309.833,-2588,-3163.133,-3096.617,1266.033,0.951,-0.129,-0.019,-0.279,98889,28
70,35,0.241,4086.533,-34.667,484.75,3980.833,1765.917,-2315.4,-3091.9,-3124.383,1317.083,0.933,-0.449,-0.026,-0.281,98884,28
75,35,0.241,4089.817,-31.883,16.933,3901.083,2215.55,-2013.967,-3053.3,-3130.883,1364.65,0.911,-0.789,-0.046,-0.279,98886,28
80,35,0.241,4091.033,-31.2,-443.417,3756.883,2631.883,-1682.15,-2995.2,-3097.517,1402.767,0.884,-1.155,-0.081,-0.273,98883,28
85,35,0.241,4088.9,-32.767,-892.967,3533.967,3008.783,-1313.517,-2919.767,-3019.917,1436.717,0.847,-1.576,-0.135,-0.265,98880,28
90,35,0.241,4084.6,-32.067,-1327.983,3238.983,3331.967,-923.517,-2867.583,-2966.833,1439.25,0.805,-2.083,-0.205,-0.251,98879,28
30,40,0.242,4123.533,-31.433,3398.567,3261.833,-1904.05,-3601.533,-3438.867,-2097.467,326.717,1.167,2.109,-0.207,-0.187,98880,28
35,40,0.242,4127.267,-33,3124.417,3513.1,-1593.3,-3505.167,-3167.383,-2401.267,273.083,1.179,1.717,-0.148,-0.192,98880,28
40,40,0.242,4130.667,-27.967,2817.617,3721.767,-1240.283,-3399.733,-2974.533,-2624.117,248.033,1.184,1.383,-0.098,-0.196,98884,28
45,40,0.243,4130.733,-33.267,2476.583,3886.983,-874.467,-3363.883,-2890.483,-2816.067,235.567,1.183,1.086,-0.059,-0.2,98879.167,28
50,40,0.243,4136.633,-32.25,2102.233,4010.667,-483.2,-3369.017,-2893.517,-2998.117,225.783,1.182,0.808,-0.03,-0.202,98875,28
55,40,0.243,4138.9,-26.067,1699.967,4091.4,-41.733,-3321.45,-2895.75,-3129.083,255.067,1.176,0.534,-0.011,-0.205,98874,28
60,40,0.243,4141.417,-27.25,1261,4130.667,444.283,-3199.983,-2868.25,-3198.85,303.75,1.167,0.249,-0.003,-0.211,98879,28
65,40,0.243,4134.117,-30.45,792.15,4134.467,957.617,-3020.917,-2859.283,-3227.817,373.5,1.154,-0.051,0,-0.217,98879,28
70,40,0.243,4139.033,-35.217,285.717,4126.4,1496.983,-2783.383,-2889.617,-3240.267,443.317,1.138,-0.374,-0.003,-0.222,98876,28
75,40,0.243,4141.6,-28.433,-249.167,4070.967,2036.417,-2490.4,-3000.483,-3249.533,510.933,1.12,-0.719,-0.017,-0.221,98881,28
80,40,0.243,4138.833,-32.283,-805.783,3930.05,2551.683,-2165.683,-3142.05,-3246.3,557.917,1.103,-1.098,-0.05,-0.217,98875,28
85,40,0.243,4134.867,-33.033,-1353.283,3681.617,3017.2,-1829.583,-3245.267,-3164.7,586.783,1.086,-1.534,-0.109,-0.208,98876.667,28
90,40,0.243,4137.85,-29.467,-1880.2,3328.4,3418.9,-1442.967,-3332.433,-3121.45,595.3,1.068,-2.071,-0.194,-0.192,98870,28
30,45,0.242,4128.25,-31.433,3301.417,3069.933,-2568.1,-3655.133,-3587.817,-2675.833,-740.533,1.41,2.171,-0.254,-0.096,98872,28
35,45,0.242,4126.883,-30.65,3004.817,3326.117,-2287.067,-3534.05,-3422.867,-2960.15,-815.433,1.396,1.783,-0.193,-0.094,98861,28
40,45,0.242,4122.633,-31.867,2678.883,3551.883,-1916.717,-3283.833,-3158.017,-3100.867,-833.117,1.383,1.449,-0.137,-0.099,98859.667,28
45,45,0.242,4116.7,-33.2,2355.1,3756.233,-1330.967,-2614.917,-2520.25,-2883.767,-700.25,1.374,1.136,-0.087,-0.131,98857,28
50,45,0.242,4120.733,-34.483,1994.2,3910.967,-922.867,-2415.683,-2309.183,-2835.633,-646.233,1.35,0.864,-0.05,-0.137,98861,28
55,45,0.242,4119.717,-33.233,1540.033,4019.45,-641.3,-3047.233,-2664.167,-3166.1,-729.85,1.33,0.611,-0.024,-0.116,98861,28
60,45,0.242,4112.45,-34.55,1059.45,4085.517,-204.317,-3509.633,-2882.75,-3361.567,-728.383,1.316,0.345,-0.006,-0.111,98865.333,28
65,45,0.242,4114.417,-32.433,570.617,4111.283,370.067,-3387.633,-2791.267,-3248.867,-630.05,1.302,0.055,-0.001,-0.121,98862,28
70,45,0.242,4106.867,-32.133,60.333,4106.8,1002.233,-3164.733,-2700.9,-2985.967,-489.75,1.286,-0.263,0,-0.136,98861,28
75,45,0.242,4108.533,-32.55,-510.6,4065.567,1633.733,-2950.267,-2763.8,-2779.067,-391.567,1.272,-0.612,-0.01,-0.143,98873,28
80,45,0.242,4109.467,-33.283,-1090.367,3927.317,2263.55,-2592.683,-2746.45,-2653.417,-298.383,1.265,-1.004,-0.044,-0.15,98869,28
85,45,0.242,4102.533,-37.917,-1710.217,3652.667,2828.583,-2244.867,-2933.183,-2741.55,-268.4,1.268,-1.467,-0.109,-0.144,98863,28
90,45,0.242,4099.667,-34.933,-2404.983,3230.95,3309.433,-1978.433,-3533.75,-3135.167,-327.917,1.281,-2.056,-0.21,-0.118,98860,28
