滚转角φ ,俯仰角θ,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
30,30,0.242,4118.933,-31.983,3208.1,3138.65,-848.583,-2851.567,-2941.517,-1111.617,2140.483,0.51,2.071,-0.236,-0.292,98892,28
35,30,0.242,4119.8,-32.45,2991.683,3341.7,-570.417,-2817.95,-2992.45,-1424.567,2110.233,0.578,1.672,-0.187,-0.299,98887,28
40,30,0.242,4124.567,-30.683,2743.417,3511.417,-262.883,-2761.633,-3014.083,-1704.433,2093.067,0.625,1.324,-0.148,-0.306,98900,28
45,30,0.242,4127.1,-32.033,2461.833,3645.183,71.6,-2677.25,-3013.783,-1955.717,2077.967,0.659,1.005,-0.116,-0.312,98885,28
50,30,0.242,4127.767,-32.65,2154.317,3741.983,421.517,-2561.033,-2993.117,-2173.067,2075.267,0.679,0.706,-0.093,-0.317,98887,28
55,30,0.242,4125.667,-29.25,1813.567,3807.667,801.25,-2398.8,-2941.267,-2353.483,2084.05,0.689,0.405,-0.077,-0.322,98888,28
60,30,0.242,4121.617,-34.85,1455.483,3831.05,1174.2,-2208.75,-2873.167,-2489.933,2104.667,0.686,0.112,-0.07,-0.325,98886,28
65,30,0.242,4128.85,-31.267,1087.167,3825.467,1556.467,-1981.583,-2793.233,-2574.067,2141.7,0.673,-0.187,-0.073,-0.325,98887.167,28
70,30,0.242,4125.483,-27.917,701.383,3778.583,1931.2,-1727.467,-2713.1,-2622.25,2169.383,0.654,-0.499,-0.084,-0.324,98884,28
75,30,0.242,4126.25,-34.017,300.867,3685.683,2292.2,-1448.9,-2642.65,-2647.633,2198.6,0.622,-0.833,-0.106,-0.32,98889,28
80,30,0.242,4123.9,-33.317,-94.083,3546.067,2630.267,-1147.7,-2565.483,-2652.217,2218.5,0.583,-1.196,-0.139,-0.313,98886.667,28
