滚转角φ ,俯仰角θ,马赫数Ma,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,α角度系数Kα,β角度系数Kβ,总压系数K0,静压系数Ks,大气压力,大气温度
270,30,0.243,4136.517,5.583,-591.933,-2580.233,-2480.633,-947.4,3172.817,3231.433,2234.083,0.514,1.94,-0.219,-0.311,98925,28
275,30,0.243,4135.983,5.733,-232.3,-2568.183,-2525.25,-1297.883,2883.9,3448.133,2222.517,0.577,1.468,-0.167,-0.32,98923,28
280,30,0.243,4133.35,6.383,142.9,-2540.017,-2563.083,-1615.05,2555.383,3613.733,2207.8,0.621,1.065,-0.126,-0.325,98923,28
285,30,0.243,4137.733,9.2,529.817,-2490.433,-2596.317,-1896.183,2192.4,3725.433,2189.6,0.65,0.703,-0.1,-0.327,98927,28
290,30,0.243,4133.217,7.9,904.55,-2442.483,-2628.517,-2123.117,1814.167,3782.783,2172.7,0.664,0.375,-0.085,-0.328,98926.667,28
295,30,0.243,4141.183,9.1,1273.283,-2398.817,-2708.683,-2313.667,1421.283,3799.617,2150.717,0.672,0.06,-0.083,-0.324,98924,28
300,30,0.242,4132.65,9.333,1631.933,-2266.483,-2755.35,-2468.967,1023.633,3778.117,2133.55,0.671,-0.248,-0.086,-0.32,98930,28
305,30,0.243,4136.167,9.1,1971.25,-2110.683,-2834.1,-2588.867,637.483,3730.533,2127.733,0.661,-0.55,-0.098,-0.314,98926.5,28
310,30,0.242,4131.633,5.067,2284.333,-1927.983,-2915.483,-2690.5,259.817,3649.5,2116.25,0.645,-0.852,-0.117,-0.307,98925,28
315,30,0.242,4124.667,-1.883,2566.967,-1712.05,-2944.583,-2766.167,-99.25,3532.633,2115.333,0.617,-1.16,-0.143,-0.299,98920,28
320,30,0.242,4126.3,-13.5,2824.983,-1458.833,-2932.5,-2819.983,-442.333,3382.683,2128.717,0.572,-1.491,-0.18,-0.291,98906,28
325,30,0.242,4117.667,-28.383,3054.567,-1163.317,-2846.25,-2841.283,-769.333,3193.167,2156.217,0.506,-1.865,-0.223,-0.282,98897,28
330,30,0.242,4118.25,-29.767,3255.317,-876.267,-2771.033,-2910.767,-1090.65,2967.433,2173.067,0.421,-2.305,-0.277,-0.268,98893,28
270,35,0.241,4083.3,0.067,-1005.717,-2930.4,-2850.817,-1430.1,3268.033,3345.15,1464.85,0.849,1.93,-0.181,-0.277,98911,28
275,35,0.241,4084.067,-1.167,-599.583,-2980.367,-2865.533,-1847.717,2915.967,3607.867,1443.933,0.883,1.435,-0.117,-0.284,98914,28
280,35,0.241,4093.683,1,-153.35,-3001.05,-2874.983,-2208.95,2507.717,3803.5,1420.2,0.907,1.013,-0.071,-0.287,98918,28
285,35,0.242,4098.983,3.867,299.967,-2984.183,-2889.55,-2525.067,2059.15,3926.667,1388.267,0.924,0.64,-0.042,-0.287,98922,28
290,35,0.242,4106.867,6.283,748.7,-2927.333,-2897.767,-2786.583,1590.783,3985.15,1354.067,0.935,0.299,-0.03,-0.284,98922,28
295,35,0.242,4105.433,8.917,1183.25,-2832.183,-2914.867,-2980.65,1113.167,3993.5,1316.783,0.941,-0.025,-0.027,-0.278,98927,28
300,35,0.242,4115.95,10.65,1593.333,-2705.6,-2974.417,-3116.283,652.217,3978.317,1289.417,0.942,-0.33,-0.034,-0.271,98918,28
305,35,0.242,4122.083,9.983,1979.567,-2544.383,-3026.1,-3177.55,213.3,3930.95,1278.617,0.936,-0.623,-0.046,-0.264,98926,28
310,35,0.242,4124.467,8.183,2335.95,-2356.133,-3085.95,-3206.683,-202.817,3853.567,1272.2,0.926,-0.911,-0.066,-0.257,98921,28
315,35,0.242,4123.817,7.067,2659.817,-2130.9,-3134.833,-3209.267,-589.767,3736.7,1277.7,0.91,-1.203,-0.094,-0.25,98922,28
320,35,0.242,4114.5,3.417,2951.017,-1880.35,-3181.217,-3221.583,-960.333,3570.383,1292.933,0.884,-1.519,-0.132,-0.241,98919,28
325,35,0.242,4119.817,-11.35,3209.4,-1603.767,-3220.767,-3269.9,-1324.2,3362.65,1315.967,0.846,-1.873,-0.183,-0.231,98909,28
330,35,0.242,4116.483,-18.45,3434.333,-1283.55,-3178.567,-3329.8,-1657.667,3108.55,1352.7,0.791,-2.293,-0.244,-0.219,98896,28
270,40,0.243,4132.117,-17.567,-1500.733,-3241.917,-3129.367,-2015.05,3328.9,3432.95,639.183,1.109,1.917,-0.168,-0.225,98876,28
275,40,0.242,4130.6,-19.317,-1023.867,-3305.7,-2985.717,-2465.55,2887.267,3748.75,617.333,1.112,1.388,-0.092,-0.229,98878,28
280,40,0.243,4137.583,-14.4,-486.583,-3304.9,-2859.9,-2785.983,2386.483,3967.583,587.567,1.12,0.952,-0.041,-0.232,98879,28
285,40,0.243,4140.433,-12.783,45.917,-3275.467,-2822.417,-3052.517,1836.6,4084.033,546.783,1.126,0.57,-0.014,-0.23,98887,28
290,40,0.243,4145.233,-8.417,564.833,-3271.9,-2892.867,-3304.617,1254.233,4123.817,482.567,1.133,0.214,-0.005,-0.221,98889,28
295,40,0.243,4141.483,-3.367,1053.967,-3201.55,-2956.333,-3476,684.6,4112.633,422.75,1.138,-0.114,-0.007,-0.211,98890,28
300,40,0.243,4143.983,1.267,1514.883,-3090.933,-2999.45,-3567.483,144.95,4107.967,372.7,1.139,-0.418,-0.009,-0.2,98895,28
305,40,0.243,4152.8,8.35,1934.967,-2921.5,-3001.45,-3549.967,-344.8,4060.533,343.467,1.138,-0.698,-0.022,-0.19,98905,28
310,40,0.243,4147.333,8.15,2325.817,-2715.283,-2989.467,-3445.817,-793.833,3964.3,330.4,1.136,-0.975,-0.044,-0.183,98899,28
315,40,0.243,4146.033,9.9,2673.533,-2510.45,-3021.017,-3321.85,-1200.2,3818.067,336.75,1.13,-1.257,-0.079,-0.176,98901,28
320,40,0.243,4152.7,6.25,2995.717,-2295.65,-3074,-3211.1,-1571.567,3631.733,364.5,1.119,-1.564,-0.126,-0.17,98899,28
325,40,0.243,4153.35,4.283,3274.417,-2071.117,-3381.9,-3311.35,-1951.067,3394.6,384.083,1.102,-1.912,-0.183,-0.158,98898,28
330,40,0.243,4151.683,-7.333,3520.55,-1775.283,-3505.25,-3385.233,-2302.683,3113.917,424.3,1.074,-2.325,-0.25,-0.148,98892,28
270,45,0.241,4067.233,-27.6,-1900.117,-2943.433,-2958.683,-2438.717,3188.217,3311.4,-208.733,1.32,1.908,-0.185,-0.164,98875,28
275,45,0.241,4062.367,-27.233,-1333.267,-2665.25,-2780.967,-2840.55,2660,3683.45,-204.817,1.287,1.322,-0.093,-0.169,98880,28
280,45,0.24,4060.5,-28.217,-763.6,-2678.167,-2763.983,-3168.083,2047.233,3919.417,-258.883,1.275,0.858,-0.035,-0.164,98879,28
285,45,0.24,4059.05,-33.033,-205.75,-2919.667,-2764.567,-3429.867,1383.233,4027.367,-340.25,1.27,0.462,-0.008,-0.152,98888,28
