点位编号,滚转角φ,俯仰角θ,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kθ[1],Kφ[1],K0[1],Ks[1],马赫数,速度,标准差,U(Kθ[1]),U(Kφ[1]),U(K0[1]),U(Ks[1]),边界标记
170,0.000,30.000,223.321,-0.387,205.515,87.456,-90.905,-89.781,-96.911,74.868,132.596,99236.410,29.1,10,0.5864,-0.1012,-0.0796,-0.3645,0.0567,19.765,0.6793,,,,,
171,5.000,30.000,222.594,-0.395,207.399,62.076,-95.774,-87.416,-93.750,96.833,132.125,99235.253,29.1,10,0.5883,0.2717,-0.0681,-0.3581,0.0566,19.733,0.8791,,,,,
172,10.000,30.000,219.919,-0.241,204.341,39.646,-98.165,-86.153,-88.839,114.724,131.786,99234.489,29.1,10,0.5706,0.5904,-0.0708,-0.3517,0.0563,19.608,0.4537,,,,,
173,15.000,30.000,219.076,-0.378,202.238,18.342,-96.782,-82.509,-80.083,133.391,132.059,99235.094,29.1,10,0.5553,0.9104,-0.0767,-0.3474,0.0562,19.577,0.6341,,,,,
174,20.000,30.000,219.771,-0.354,198.987,-3.366,-96.699,-81.950,-72.107,149.995,131.562,99234.562,29.1,10,0.5365,1.2203,-0.0944,-0.3347,0.0563,19.607,0.4566,,,,,
175,25.000,30.000,221.020,-0.288,195.070,-21.764,-94.478,-81.739,-61.648,163.820,131.885,99232.644,29.1,10,0.5094,1.4961,-0.1173,-0.3222,0.0564,19.660,0.8090,,,,,
236,330.000,30.000,218.812,-0.272,182.281,175.550,-52.192,-100.195,-105.897,-50.258,130.255,99233.195,29.5,10,0.4349,-1.8875,-0.1667,-0.2872,0.0561,19.572,0.8498,,,,,
237,335.000,30.000,219.632,-0.226,189.801,165.456,-62.660,-94.941,-103.965,-30.390,131.491,99236.146,29.5,10,0.4769,-1.6018,-0.1357,-0.3082,0.0562,19.606,1.5303,,,,,
238,340.000,30.000,221.487,-0.175,198.161,153.526,-72.054,-91.444,-103.281,-9.345,131.833,99234.970,29.5,10,0.5261,-1.2919,-0.1052,-0.3260,0.0565,19.687,0.5421,,,,,
239,345.000,30.000,218.720,-0.119,199.686,136.936,-81.847,-92.043,-103.577,9.033,130.466,99234.176,29.5,10,0.5463,-1.0095,-0.0870,-0.3341,0.0561,19.561,0.5488,,,,,
