点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
61,10.000,-10.000,221.148,-0.799,31.607,80.027,136.254,129.227,60.421,21.422,216.290,99239.322,28.3,10,-0.5552,-0.6926,-0.0219,-0.3482,0.0565,19.661,0.8683,,,,,
62,15.000,-10.000,221.529,-0.674,14.341,95.430,155.688,118.076,26.410,-7.058,210.364,99238.470,28.3,10,-0.9343,-0.7010,-0.0503,-0.3052,0.0565,19.672,0.7497,,,,,
63,20.000,-10.000,222.193,-0.507,-8.039,110.900,172.549,98.704,-10.996,-30.884,201.429,99238.269,28.3,10,-1.2860,-0.6733,-0.0932,-0.2509,0.0566,19.694,1.3790,,,,,
64,25.000,-10.000,220.319,-0.396,-43.684,119.127,185.286,70.315,-56.764,-62.578,183.961,99238.244,28.3,10,-1.6455,-0.6725,-0.1647,-0.1617,0.0563,19.607,0.6663,,,,,P7-P3
65,30.000,-10.000,219.373,-0.703,-84.298,125.573,195.069,33.044,-105.320,-98.318,159.956,99238.203,28.3,10,-2.0315,-0.6648,-0.2700,-0.0530,0.0563,19.579,0.9358,,,,,
66,-30.000,-5.000,220.313,-0.560,-42.650,-74.847,-45.270,-8.243,185.880,161.353,133.629,99238.453,28.3,10,2.5880,-0.3930,-0.3925,-0.1355,0.0564,19.614,0.6251,,,,,
67,-25.000,-5.000,221.215,-0.590,-11.029,-49.986,-44.787,25.204,184.892,154.806,160.969,99237.122,28.4,10,2.1297,-0.3049,-0.2716,-0.1974,0.0565,19.656,0.6554,,,,,
68,-20.000,-5.000,217.779,-0.607,14.466,-26.539,-22.775,53.307,171.961,140.801,181.089,99238.288,28.4,10,1.6606,-0.2982,-0.1680,-0.2556,0.0560,19.504,0.4674,,,,,
69,-15.000,-5.000,221.121,-0.678,39.218,-0.708,6.581,78.058,160.898,129.724,200.169,99237.598,28.4,10,1.2530,-0.2951,-0.0945,-0.3140,0.0565,19.656,1.5995,,,,,
70,-10.000,-5.000,222.035,-0.770,54.956,21.802,32.105,93.676,145.376,115.035,211.241,99237.051,28.4,10,0.8892,-0.2936,-0.0484,-0.3498,0.0566,19.701,1.5168,,,,,
71,-5.000,-5.000,222.061,-0.537,61.823,44.734,57.050,102.179,125.832,100.490,217.703,99237.249,28.4,10,0.5299,-0.2908,-0.0196,-0.3709,0.0566,19.692,1.6501,,,,,
72,0.000,-5.000,220.287,-0.634,64.252,64.664,79.592,105.469,103.994,83.559,218.817,99236.230,28.4,10,0.1849,-0.2904,-0.0067,-0.3812,0.0564,19.618,0.5354,,,,,
73,5.000,-5.000,219.123,-0.588,62.817,80.050,100.546,105.379,80.841,58.194,218.222,99239.281,28.4,10,-0.1753,-0.3123,-0.0041,-0.3727,0.0562,19.564,0.6331,,,,,
74,10.000,-5.000,221.867,-0.510,56.280,100.562,124.863,101.970,57.279,32.636,219.302,99240.531,28.4,10,-0.5574,-0.3332,-0.0115,-0.3572,0.0566,19.683,0.6950,,,,,
75,15.000,-5.000,220.983,-0.564,38.710,117.737,144.540,90.318,27.256,8.333,214.431,99238.578,28.4,10,-0.9134,-0.3465,-0.0296,-0.3237,0.0565,19.646,0.3309,,,,,
76,20.000,-5.000,223.492,-0.623,16.740,135.629,163.985,70.962,-7.543,-19.841,205.917,99236.750,28.4,10,-1.2937,-0.3406,-0.0784,-0.2704,0.0568,19.760,0.9552,,,,,
77,25.000,-5.000,220.914,-0.628,-16.531,146.394,175.572,39.466,-50.876,-57.848,188.376,99237.745,28.4,10,-1.6687,-0.3314,-0.1469,-0.1805,0.0565,19.647,1.1979,,,,,
78,30.000,-5.000,221.990,-0.414,-56.552,155.782,187.043,0.655,-96.952,-100.943,165.620,99237.920,28.4,10,-2.0704,-0.3309,-0.2535,-0.0686,0.0566,19.685,0.8151,,,,,
