点位编号,滚转角φ,俯仰角θ,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kθ[4],Kφ[4],K0[4],Ks[4],马赫数,速度,标准差,U(Kθ[4]),U(Kφ[4]),U(K0[4]),U(Ks[4]),边界标记
200,150.000,30.000,222.088,-0.293,-72.507,-65.144,-33.632,179.700,189.616,-21.338,135.818,99240.227,29.3,10,0.4315,-2.1950,-0.1906,-0.3520,0.0566,19.711,1.4029,,,,,
201,155.000,30.000,217.731,-0.202,-68.667,-65.210,-18.772,185.327,177.570,-32.595,136.959,99240.270,29.3,10,0.4566,-1.8535,-0.1487,-0.3653,0.0560,19.514,0.8172,,,,,
202,160.000,30.000,221.057,-0.432,-61.783,-61.130,0.673,194.691,169.230,-39.379,141.507,99241.913,29.3,10,0.4846,-1.5360,-0.1190,-0.3855,0.0564,19.672,0.7667,,,,,
203,165.000,30.000,220.001,-0.194,-58.777,-60.950,18.090,197.339,155.518,-46.483,143.614,99238.531,29.3,10,0.4860,-1.2433,-0.1029,-0.3951,0.0563,19.615,0.4440,,,,,
204,170.000,30.000,220.843,-0.255,-57.449,-61.716,36.085,200.616,141.198,-54.401,146.885,99238.983,29.3,10,0.4798,-0.9387,-0.0915,-0.4021,0.0564,19.655,0.6974,,,,,
205,175.000,30.000,220.640,-0.187,-58.859,-63.236,53.509,201.860,124.356,-62.808,149.005,99238.922,29.3,10,0.4680,-0.6274,-0.0850,-0.4036,0.0564,19.643,0.9671,,,,,
206,180.000,30.000,219.257,-0.065,-60.481,-62.399,70.631,201.358,105.770,-68.300,151.043,99238.273,29.3,10,0.4446,-0.3105,-0.0816,-0.4024,0.0562,19.577,0.4766,,,,,
207,185.000,30.000,219.049,-0.008,-62.911,-61.021,88.831,201.465,86.718,-73.854,151.554,99240.453,29.3,10,0.4390,0.0186,-0.0803,-0.4007,0.0561,19.565,0.7254,,,,,
208,190.000,30.000,217.587,-0.180,-64.106,-56.373,105.943,199.733,66.651,-76.244,152.018,99242.105,29.3,10,0.4206,0.3464,-0.0820,-0.3971,0.0560,19.507,0.4732,,,,,
209,195.000,30.000,220.832,-0.157,-59.550,-43.129,127.085,200.545,51.510,-71.988,158.150,99239.941,29.3,10,0.3811,0.6793,-0.0918,-0.4048,0.0564,19.651,0.4093,,,,,
210,200.000,30.000,221.112,-0.255,-58.820,-31.111,144.693,198.635,33.792,-70.725,159.980,99238.002,29.3,10,0.3534,1.0138,-0.1015,-0.4043,0.0564,19.668,0.4455,,,,,
211,205.000,30.000,221.360,-0.169,-60.051,-17.698,159.064,193.963,16.376,-68.696,161.767,99238.294,29.3,10,0.3030,1.3430,-0.1237,-0.3967,0.0564,19.676,0.4100,,,,,
272,150.000,35.000,217.259,-0.032,-116.540,-99.651,-79.778,181.370,189.428,-71.173,89.953,99229.297,29.6,10,0.7224,-2.1273,-0.1652,-0.2525,0.0559,19.498,0.3288,,,,,
273,155.000,35.000,221.194,-0.050,-103.585,-94.745,-55.585,193.887,181.910,-76.070,98.626,99227.508,29.6,10,0.7287,-1.8168,-0.1234,-0.2857,0.0564,19.674,0.3544,,,,,
274,160.000,35.000,218.752,-0.098,-97.142,-95.882,-35.802,199.388,168.005,-84.806,102.430,99226.617,29.7,10,0.7274,-1.5291,-0.0885,-0.3025,0.0561,19.568,0.7928,,,,,
275,165.000,35.000,218.995,-0.090,-84.967,-91.497,-10.250,205.380,153.780,-86.087,108.615,99226.566,29.7,10,0.7242,-1.2276,-0.0621,-0.3280,0.0561,19.579,0.5940,,,,,
276,170.000,35.000,218.384,-0.202,-81.627,-93.569,11.617,208.007,135.570,-93.649,112.476,99227.422,29.7,10,0.7107,-0.9222,-0.0475,-0.3376,0.0561,19.556,0.5665,,,,,
277,175.000,35.000,221.566,-0.019,-80.611,-96.275,35.417,212.431,117.668,-101.137,118.908,99228.442,29.7,10,0.6882,-0.6053,-0.0412,-0.3455,0.0565,19.690,1.1420,,,,,
278,180.000,35.000,218.028,-0.103,-86.184,-102.403,54.236,210.389,92.252,-112.032,117.872,99230.144,29.7,10,0.6746,-0.2772,-0.0350,-0.3363,0.0560,19.536,2.0465,,,,,
279,185.000,35.000,218.516,0.044,-88.987,-101.849,77.289,210.567,69.526,-116.002,119.924,99226.309,29.7,10,0.6609,0.0566,-0.0364,-0.3358,0.0561,19.552,0.6433,,,,,
280,190.000,35.000,219.173,-0.068,-89.747,-96.494,99.660,209.741,45.471,-115.557,122.711,99227.381,29.7,10,0.6344,0.3950,-0.0430,-0.3313,0.0562,19.586,0.4324,,,,,
281,195.000,35.000,220.633,-0.091,-87.598,-84.929,122.404,209.290,24.534,-111.323,125.302,99227.905,29.7,10,0.6184,0.7206,-0.0514,-0.3333,0.0563,19.652,0.6284,,,,,
282,200.000,35.000,219.899,-0.052,-86.090,-68.590,141.975,204.872,4.153,-104.221,128.251,99227.406,29.7,10,0.5813,1.0456,-0.0683,-0.3324,0.0563,19.618,0.6210,,,,,
283,205.000,35.000,220.315,-0.086,-90.093,-56.268,159.830,200.951,-17.388,-104.418,130.154,99228.500,29.7,10,0.5457,1.3661,-0.0879,-0.3235,0.0563,19.638,0.8793,,,,,
344,150.000,40.000,219.697,-0.013,-149.296,-128.401,-119.136,184.880,190.815,-117.084,43.595,99230.250,29.9,10,0.9480,-2.0796,-0.1585,-0.1632,0.0562,19.615,0.2687,,,,,
345,155.000,40.000,222.457,0.085,-134.340,-124.919,-93.938,198.564,180.835,-122.703,52.874,99230.739,29.9,10,0.9392,-1.7714,-0.1074,-0.1950,0.0566,19.734,0.7926,,,,,
346,160.000,40.000,217.779,-0.007,-123.123,-124.695,-70.780,203.053,162.955,-128.063,58.271,99230.761,29.9,10,0.9224,-1.4891,-0.0676,-0.2116,0.0560,19.530,0.7023,,,,,
347,165.000,40.000,219.094,-0.134,-108.217,-119.302,-41.217,209.558,147.395,-127.608,67.338,99232.038,30.0,10,0.9089,-1.2054,-0.0435,-0.2428,0.0562,19.594,0.5932,,,,,
348,170.000,40.000,220.497,-0.020,-100.473,-117.442,-12.825,213.278,127.569,-128.622,74.631,99231.348,30.0,10,0.8893,-0.9005,-0.0327,-0.2603,0.0563,19.652,1.2465,,,,,
349,175.000,40.000,223.016,-0.118,-100.219,-123.801,14.623,217.084,105.784,-135.220,80.600,99231.258,30.0,10,0.8700,-0.5811,-0.0266,-0.2703,0.0567,19.768,2.1935,,,,,
350,180.000,40.000,220.130,0.039,-108.708,-139.789,37.031,216.125,76.061,-151.737,81.076,99229.512,30.0,10,0.8463,-0.2446,-0.0182,-0.2567,0.0563,19.633,0.9173,,,,,
351,185.000,40.000,220.386,-0.099,-111.529,-143.350,62.156,216.400,47.857,-155.901,82.575,99231.009,30.0,10,0.8292,0.0886,-0.0181,-0.2499,0.0563,19.651,1.1165,,,,,
352,190.000,40.000,219.449,-0.001,-112.334,-137.531,89.662,215.596,19.034,-152.431,85.546,99230.699,30.0,10,0.8065,0.4380,-0.0176,-0.2477,0.0562,19.605,0.2883,,,,,
353,195.000,40.000,219.751,-0.054,-112.249,-124.527,115.638,213.674,-5.956,-142.942,88.542,99229.116,30.0,10,0.7878,0.7655,-0.0276,-0.2497,0.0562,19.621,0.3999,,,,,
354,200.000,40.000,220.810,-0.140,-115.096,-113.077,139.047,211.873,-31.007,-139.099,89.933,99231.073,30.0,10,0.7725,1.0773,-0.0404,-0.2451,0.0564,19.672,1.4423,,,,,
355,205.000,40.000,220.247,0.058,-121.965,-102.440,156.787,204.721,-57.838,-140.654,89.980,99230.064,30.0,10,0.7391,1.3825,-0.0705,-0.2244,0.0563,19.638,0.4311,,,,,
416,150.000,45.000,218.520,0.392,-175.554,-156.180,-158.625,181.195,182.469,-166.369,-13.215,99230.828,30.2,10,1.1485,-2.0150,-0.1711,-0.0529,0.0560,19.552,0.3477,,,,,P4-P5
417,155.000,45.000,220.724,0.259,-161.602,-154.237,-135.853,194.322,170.961,-169.811,-2.409,99232.184,30.2,10,1.1129,-1.7357,-0.1198,-0.0784,0.0563,19.656,0.6478,,,,,
418,160.000,45.000,217.042,-0.016,-151.199,-155.798,-109.073,202.008,152.896,-175.875,6.126,99231.699,30.2,10,1.0877,-1.4546,-0.0693,-0.1010,0.0559,19.504,0.4160,,,,,
419,165.000,45.000,219.688,0.179,-132.048,-144.322,-72.538,211.796,136.460,-169.279,20.921,99231.798,30.2,10,1.0614,-1.1622,-0.0360,-0.1448,0.0562,19.614,0.7172,,,,,
420,170.000,45.000,220.522,0.122,-107.853,-118.542,-33.602,215.334,115.504,-147.287,37.137,99231.513,30.2,10,1.0219,-0.8550,-0.0235,-0.1853,0.0563,19.654,0.5438,,,,,
421,175.000,45.000,217.313,0.120,-128.585,-152.313,-12.083,215.483,85.217,-173.432,33.650,99232.273,30.2,10,1.0163,-0.5438,-0.0084,-0.1678,0.0559,19.511,0.5581,,,,,
422,180.000,45.000,218.323,0.019,-130.181,-173.212,13.347,217.410,56.451,-183.127,36.170,99232.477,30.2,10,0.9930,-0.2362,-0.0042,-0.1598,0.0560,19.561,0.9412,,,,,
423,185.000,45.000,219.469,0.156,-127.403,-179.899,44.106,217.687,21.427,-185.413,38.136,99232.141,30.2,10,0.9710,0.1226,-0.0081,-0.1487,0.0562,19.606,1.2234,,,,,
424,190.000,45.000,222.218,0.109,-128.740,-175.011,77.635,219.097,-8.842,-177.839,43.783,99234.242,30.2,10,0.9492,0.4682,-0.0141,-0.1544,0.0565,19.730,0.8151,,,,,
425,195.000,45.000,222.214,-0.127,-137.598,-167.926,106.325,217.059,-40.272,-171.908,44.561,99233.884,30.2,10,0.9373,0.7966,-0.0232,-0.1491,0.0566,19.740,0.8564,,,,,
426,200.000,45.000,221.791,0.180,-141.376,-155.174,132.441,213.893,-67.025,-164.616,47.383,99232.348,30.2,10,0.9190,1.1009,-0.0356,-0.1468,0.0565,19.708,1.0121,,,,,
427,205.000,45.000,222.056,0.400,-150.558,-146.752,152.283,207.123,-97.893,-166.021,44.705,99233.245,30.2,10,0.9027,1.3904,-0.0674,-0.1209,0.0565,19.710,1.5342,,,,,
