点位编号,滚转角φ,俯仰角θ,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kθ[2],Kφ[2],K0[2],Ks[2],马赫数,速度,标准差,U(Kθ[2]),U(Kφ[2]),U(K0[2]),U(Ks[2]),边界标记
394,40.000,45.000,219.652,-0.010,168.309,-209.669,-178.992,-200.084,-161.294,192.771,-12.846,99232.531,30.1,10,0.9633,-1.6997,-1.9545,0.0243,0.0562,19.618,1.3153,,,,,
395,45.000,45.000,220.883,0.067,150.708,-225.981,-173.975,-208.327,-144.051,201.286,-18.002,99232.887,30.1,10,0.9703,-1.5147,-2.0237,0.0530,0.0564,19.670,0.9104,,,,,
396,50.000,45.000,217.279,0.072,127.161,-238.302,-170.288,-217.744,-121.919,206.244,-21.774,99230.598,30.1,10,0.9990,-1.3724,-2.0975,0.0996,0.0559,19.509,0.6285,,,,,
397,55.000,45.000,218.766,0.326,105.651,-239.801,-163.301,-222.097,-94.730,212.410,-20.005,99231.211,30.1,10,1.0418,-1.2748,-2.0993,0.1334,0.0561,19.564,0.8325,,,,,
398,60.000,45.000,217.663,0.130,78.152,-236.777,-159.358,-228.079,-63.484,215.188,-18.099,99231.133,30.1,10,1.1147,-1.2107,-2.0891,0.1873,0.0559,19.524,1.5460,,,,,
399,65.000,45.000,217.240,0.042,48.904,-230.432,-158.467,-230.654,-26.486,217.254,-11.494,99230.156,30.1,10,1.2464,-1.1806,-2.0611,0.2524,0.0559,19.509,0.9977,,,,,
400,70.000,45.000,217.961,0.118,13.137,-220.032,-157.090,-234.492,14.434,217.406,-6.188,99228.422,30.1,10,1.4444,-1.1498,-2.0106,0.3309,0.0560,19.538,0.1844,,,,,
401,75.000,45.000,219.215,0.269,-21.469,-206.285,-149.746,-229.656,58.713,217.679,-0.502,99229.992,30.1,10,1.7052,-1.0630,-1.9434,0.3922,0.0561,19.587,1.0737,,,,,
402,80.000,45.000,219.126,0.077,-61.480,-198.483,-145.860,-220.407,99.377,214.120,0.247,99231.315,30.1,10,2.0960,-0.8900,-1.9065,0.4736,0.0561,19.592,1.1457,,,,,
403,85.000,45.000,220.405,0.262,-98.267,-189.298,-148.949,-199.978,139.713,206.802,2.427,99230.200,30.1,10,2.9186,-0.7715,-1.8611,0.5627,0.0563,19.641,0.7806,,,,,
