点位编号,滚转角φ,俯仰角θ,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kθ[2],Kφ[2],K0[2],Ks[2],马赫数,速度,标准差,U(Kθ[2]),U(Kφ[2]),U(K0[2]),U(Ks[2]),边界标记
176,30.000,30.000,221.675,-0.310,188.154,-41.428,-93.868,-84.538,-49.927,176.916,131.107,99235.455,29.1,10,1.9480,-3.1841,-1.1852,-0.2138,0.0565,19.690,0.4485,,,,,
177,35.000,30.000,219.929,-0.496,178.078,-59.858,-93.505,-89.815,-38.201,185.215,129.061,99235.220,29.1,10,1.8495,-2.6588,-1.2693,-0.1941,0.0563,19.621,0.6987,,,,,
178,40.000,30.000,218.519,-0.356,165.919,-75.778,-92.594,-94.370,-22.890,192.419,127.993,99232.867,29.1,10,1.8123,-2.2991,-1.3446,-0.1691,0.0561,19.552,1.1749,,,,,
179,45.000,30.000,219.817,-0.312,154.060,-86.215,-89.884,-95.362,-2.717,199.640,130.061,99234.289,29.2,10,1.8281,-2.0620,-1.3902,-0.1472,0.0563,19.608,0.2390,,,,,
180,50.000,30.000,221.413,-0.233,139.464,-96.633,-89.550,-98.081,16.071,203.908,130.427,99234.215,29.2,10,1.8674,-1.8835,-1.4349,-0.1136,0.0565,19.676,0.3610,,,,,
181,55.000,30.000,225.199,-0.180,124.503,-101.722,-86.844,-96.792,39.977,209.112,134.472,99235.881,29.2,10,1.9593,-1.7532,-1.4505,-0.0843,0.0569,19.840,1.9389,,,,,
182,60.000,30.000,220.119,-0.249,101.592,-109.999,-90.218,-100.100,57.078,205.443,130.644,99233.578,29.2,10,2.0801,-1.6580,-1.4980,-0.0269,0.0563,19.619,0.8386,,,,,
183,65.000,30.000,219.342,-0.276,80.911,-110.500,-88.601,-96.317,79.662,204.778,132.049,99235.766,29.2,10,2.2741,-1.5893,-1.5019,0.0163,0.0562,19.586,0.4714,,,,,
184,70.000,30.000,223.281,-0.163,65.928,-106.377,-81.884,-88.675,103.341,208.663,136.291,99237.223,29.2,10,2.4662,-1.5022,-1.4753,0.0350,0.0567,19.756,1.2509,,,,,
185,75.000,30.000,220.818,-0.305,42.765,-104.310,-79.318,-80.955,122.652,203.714,135.533,99237.153,29.2,10,2.7878,-1.4190,-1.4703,0.0813,0.0564,19.653,1.0109,,,,,
186,80.000,30.000,220.289,-0.228,20.010,-98.754,-75.442,-67.750,143.469,198.103,134.750,99236.422,29.2,10,3.2870,-1.3437,-1.4468,0.1247,0.0563,19.626,0.8243,,,,,
187,85.000,30.000,222.623,-0.209,2.747,-93.204,-72.741,-55.193,159.868,193.898,135.214,99235.641,29.2,10,3.9242,-1.2969,-1.4173,0.1561,0.0566,19.729,0.3062,,,,,
248,30.000,35.000,219.197,-0.053,192.795,-80.874,-129.458,-122.501,-96.573,176.281,92.565,99231.355,29.5,10,1.5411,-2.8634,-1.3686,-0.1447,0.0562,19.581,0.6654,,,,,
249,35.000,35.000,219.930,-0.054,182.038,-101.839,-126.391,-127.705,-81.028,188.875,91.448,99230.954,29.5,10,1.4907,-2.3787,-1.4627,-0.1267,0.0563,19.614,1.1864,,,,,
250,40.000,35.000,221.008,-0.092,171.687,-118.818,-123.247,-132.971,-65.958,198.761,89.958,99231.852,29.5,10,1.4596,-2.0619,-1.5370,-0.1100,0.0564,19.664,1.4915,,,,,
251,45.000,35.000,217.707,-0.152,153.473,-134.864,-121.442,-139.401,-46.607,202.985,88.657,99229.266,29.5,10,1.4815,-1.8221,-1.6183,-0.0742,0.0560,19.520,1.0818,,,,,
252,50.000,35.000,221.262,-0.064,138.292,-146.773,-119.058,-144.039,-24.626,210.799,89.794,99231.741,29.5,10,1.5127,-1.6456,-1.6629,-0.0437,0.0564,19.674,0.4999,,,,,
253,55.000,35.000,222.134,-0.141,118.402,-152.803,-116.943,-144.884,1.678,213.623,92.877,99231.836,29.6,10,1.6002,-1.5329,-1.6868,-0.0039,0.0565,19.717,0.8288,,,,,
254,60.000,35.000,220.649,-0.166,95.007,-159.259,-118.329,-148.314,25.031,213.814,92.221,99233.050,29.6,10,1.7038,-1.4454,-1.7205,0.0521,0.0564,19.652,0.5055,,,,,
255,65.000,35.000,220.471,-0.164,71.203,-157.880,-115.741,-146.063,52.523,213.041,94.030,99232.062,29.6,10,1.8576,-1.3785,-1.7148,0.1002,0.0563,19.644,0.4693,,,,,
256,70.000,35.000,221.786,-0.183,47.206,-151.487,-109.575,-138.786,82.780,213.959,98.436,99230.602,29.6,10,2.0775,-1.3032,-1.6816,0.1397,0.0565,19.704,0.8435,,,,,
257,75.000,35.000,220.235,-0.207,18.982,-148.105,-106.408,-132.366,108.865,211.208,97.348,99230.398,29.6,10,2.3513,-1.2011,-1.6709,0.1974,0.0563,19.636,0.9958,,,,,
258,80.000,35.000,218.708,-0.126,-7.217,-140.260,-103.253,-118.925,134.108,205.962,97.257,99230.836,29.6,10,2.7935,-1.1295,-1.6404,0.2518,0.0561,19.564,0.4082,,,,,
259,85.000,35.000,221.628,-0.164,-29.898,-128.975,-100.120,-99.702,159.252,200.746,99.627,99229.758,29.6,10,3.5738,-1.0978,-1.5808,0.2924,0.0565,19.696,0.3250,,,,,
320,30.000,40.000,220.903,0.111,196.520,-121.734,-157.571,-154.853,-141.407,176.380,50.349,99227.731,29.8,10,1.2186,-2.5076,-1.5519,-0.0877,0.0564,19.661,0.9376,,,,,
321,35.000,40.000,219.301,0.056,182.865,-146.315,-156.824,-163.662,-128.942,186.889,45.322,99227.836,29.9,10,1.2027,-2.1319,-1.6676,-0.0591,0.0562,19.592,1.3128,,,,,P1-P6
322,40.000,40.000,219.926,0.039,171.576,-164.960,-153.206,-170.375,-113.794,198.040,41.720,99229.281,29.9,10,1.1868,-1.8650,-1.7504,-0.0416,0.0562,19.621,0.9486,,,,,
323,45.000,40.000,219.968,-0.078,156.144,-178.817,-148.154,-176.026,-94.475,205.959,40.465,99228.439,29.9,10,1.1995,-1.6645,-1.8123,-0.0185,0.0563,19.628,0.8571,,,,,
324,50.000,40.000,218.847,0.004,136.189,-192.446,-144.718,-184.314,-74.055,210.264,38.810,99229.797,29.9,10,1.2289,-1.4927,-1.8794,0.0195,0.0561,19.574,0.6305,,,,,
325,55.000,40.000,219.539,-0.067,112.258,-200.656,-141.336,-188.911,-44.420,215.120,41.168,99229.391,29.9,10,1.2993,-1.3625,-1.9134,0.0659,0.0562,19.608,0.5872,,,,,
326,60.000,40.000,219.486,0.076,86.615,-204.305,-141.811,-191.850,-13.961,216.664,43.606,99229.586,29.9,10,1.4030,-1.2927,-1.9315,0.1261,0.0562,19.600,0.4982,,,,,
327,65.000,40.000,218.796,-0.034,56.375,-204.406,-142.336,-195.014,17.316,216.285,44.868,99228.867,29.9,10,1.5442,-1.2310,-1.9339,0.1963,0.0561,19.574,0.6185,,,,,
328,70.000,40.000,219.427,0.037,25.181,-198.877,-138.846,-193.701,52.471,216.288,48.251,99228.398,29.9,10,1.7398,-1.1548,-1.9067,0.2592,0.0562,19.599,0.5382,,,,,
329,75.000,40.000,219.101,0.079,-4.542,-188.065,-132.270,-183.651,87.181,214.969,51.730,99230.039,29.9,10,2.0040,-1.0674,-1.8590,0.3127,0.0561,19.583,1.4723,,,,,
330,80.000,40.000,219.091,-0.002,-36.489,-177.753,-127.727,-170.539,120.163,211.110,52.140,99227.672,29.9,10,2.4036,-0.9539,-1.8113,0.3748,0.0561,19.586,0.4179,,,,,
331,85.000,40.000,218.611,0.181,-65.790,-166.089,-128.604,-152.098,149.152,203.254,52.745,99228.148,29.9,10,3.1765,-0.9118,-1.7612,0.4458,0.0561,19.557,0.4870,,,,,
392,30.000,45.000,219.019,0.121,195.238,-164.181,-184.447,-183.280,-190.844,166.386,-2.713,99232.594,30.1,10,0.9522,-2.2390,-1.7506,-0.0241,0.0561,19.584,1.1058,,,,,
393,35.000,45.000,219.527,0.061,183.032,-187.970,-181.187,-190.201,-175.187,181.708,-6.347,99231.887,30.1,10,0.9615,-1.9282,-1.8568,-0.0039,0.0562,19.610,0.4193,,,,,P1-P6
