点位编号,滚转角φ,俯仰角θ,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kθ[5],Kφ[5],K0[5],Ks[5],马赫数,速度,标准差,U(Kθ[5]),U(Kφ[5]),U(K0[5]),U(Ks[5]),边界标记
212,210.000,30.000,221.291,-0.313,-64.933,-6.802,168.675,186.361,-1.418,-69.931,162.810,99239.805,29.3,10,2.7540,-4.2978,-1.0050,-0.2641,0.0565,19.679,1.0643,,,,,
213,215.000,30.000,219.224,-0.274,-71.328,4.119,177.636,175.483,-19.743,-73.217,163.092,99239.625,29.3,10,2.5797,-3.5090,-1.0887,-0.2342,0.0562,19.586,0.4683,,,,,P3-P4
214,220.000,30.000,220.621,-0.146,-76.589,16.748,186.073,164.712,-36.696,-75.662,163.389,99240.820,29.4,10,2.4635,-2.9595,-1.1656,-0.2023,0.0564,19.642,0.3918,,,,,
215,225.000,30.000,221.765,-0.076,-78.225,33.068,193.723,151.863,-48.627,-75.269,165.508,99238.172,29.4,10,2.4635,-2.6130,-1.2189,-0.1730,0.0565,19.690,1.1107,,,,,
216,230.000,30.000,219.082,-0.051,-82.991,46.642,195.599,134.588,-62.608,-78.338,163.577,99239.594,29.4,10,2.4929,-2.3467,-1.2855,-0.1286,0.0561,19.570,1.1538,,,,,
217,235.000,30.000,218.939,-0.111,-84.115,63.434,196.957,115.666,-73.231,-79.856,164.608,99239.525,29.4,10,2.6097,-2.1454,-1.3338,-0.0822,0.0561,19.566,0.5337,,,,,
218,240.000,30.000,219.601,-0.163,-83.878,82.307,199.309,96.925,-81.482,-82.273,166.113,99238.077,29.4,10,2.7880,-2.0178,-1.3700,-0.0341,0.0562,19.599,0.5798,,,,,
219,245.000,30.000,220.672,-0.054,-80.206,101.361,199.358,75.355,-86.614,-83.444,167.330,99238.058,29.4,10,3.0755,-1.9232,-1.3922,0.0181,0.0563,19.641,0.8565,,,,,
220,250.000,30.000,219.436,-0.271,-75.995,119.027,197.481,51.472,-92.298,-86.339,166.455,99237.586,29.4,10,3.4563,-1.8408,-1.4189,0.0781,0.0562,19.596,0.3633,,,,,
221,255.000,30.000,219.013,-0.283,-67.782,135.537,194.534,29.375,-94.228,-90.454,166.289,99236.562,29.4,10,4.0905,-1.8815,-1.4284,0.1380,0.0562,19.578,0.5262,,,,,
222,260.000,30.000,218.724,-0.237,-58.230,150.037,188.898,7.422,-95.880,-96.599,165.391,99237.359,29.4,10,5.0938,-2.0280,-1.4368,0.2026,0.0561,19.564,0.5022,,,,,
223,265.000,30.000,222.914,-0.070,-43.393,167.782,184.576,-13.815,-94.946,-101.286,166.581,99236.105,29.4,10,6.9936,-2.3391,-1.4255,0.2578,0.0566,19.742,1.0466,,,,,
284,210.000,35.000,219.956,-0.085,-100.731,-46.281,172.594,191.624,-41.207,-108.534,129.936,99227.875,29.7,10,2.0681,-3.6272,-1.1869,-0.1892,0.0563,19.622,0.8219,,,,,
285,215.000,35.000,221.376,-0.132,-107.445,-32.963,185.987,183.235,-60.235,-107.129,130.382,99228.212,29.7,10,1.9394,-2.9542,-1.2713,-0.1724,0.0564,19.688,1.4886,,,,,P3-P4
286,220.000,35.000,220.916,-0.063,-115.011,-18.673,194.290,169.129,-79.621,-109.320,130.567,99227.089,29.7,10,1.9191,-2.5423,-1.3600,-0.1356,0.0564,19.664,2.0736,,,,,
287,225.000,35.000,220.369,0.029,-120.343,-0.973,200.585,152.997,-94.948,-109.104,131.679,99226.055,29.7,10,1.9387,-2.2422,-1.4310,-0.0995,0.0563,19.636,0.7630,,,,,
288,230.000,35.000,220.133,-0.028,-126.063,17.947,204.224,132.212,-110.480,-109.750,131.855,99227.738,29.7,10,1.9911,-1.9880,-1.5017,-0.0511,0.0563,19.628,1.7311,,,,,
289,235.000,35.000,220.848,-0.148,-129.448,40.709,208.366,109.672,-123.013,-110.354,134.585,99227.614,29.7,10,2.0999,-1.7936,-1.5560,0.0009,0.0564,19.666,0.8275,,,,,
290,240.000,35.000,218.633,-0.060,-130.741,60.836,208.723,86.031,-131.167,-112.621,135.261,99227.986,29.7,10,2.2603,-1.6853,-1.5995,0.0605,0.0561,19.563,0.2864,,,,,
291,245.000,35.000,219.003,-0.077,-132.210,82.032,208.235,58.506,-138.941,-117.059,135.422,99227.789,29.7,10,2.5018,-1.6009,-1.6339,0.1333,0.0561,19.580,0.3336,,,,,
292,250.000,35.000,218.847,-0.036,-128.489,105.468,208.070,29.910,-142.756,-120.571,136.014,99225.820,29.7,10,2.8614,-1.5446,-1.6520,0.2069,0.0561,19.572,0.7636,,,,,
293,255.000,35.000,218.563,-0.074,-120.979,126.746,204.506,0.932,-144.226,-126.020,134.484,99226.734,29.7,10,3.4121,-1.5542,-1.6593,0.2857,0.0561,19.561,1.0037,,,,,
294,260.000,35.000,220.839,-0.057,-106.752,149.944,199.891,-28.373,-141.689,-133.566,135.926,99226.766,29.7,10,4.5721,-1.7325,-1.6412,0.3663,0.0564,19.662,0.9678,,,,,
295,265.000,35.000,220.602,-0.120,-92.142,168.126,191.175,-55.053,-140.553,-144.809,135.563,99225.852,29.7,10,6.7971,-2.2095,-1.6362,0.4522,0.0563,19.654,1.0707,,,,,
356,210.000,40.000,220.963,0.046,-130.564,-88.807,174.159,196.810,-84.117,-141.027,89.522,99232.344,30.0,10,1.5502,-3.0162,-1.3810,-0.1260,0.0564,19.670,0.4513,,,,,
357,215.000,40.000,220.005,0.145,-141.714,-75.258,186.235,183.342,-107.921,-140.245,87.674,99231.539,30.0,10,1.5107,-2.4993,-1.4915,-0.0974,0.0562,19.623,1.5725,,,,,P3-P4
358,220.000,40.000,220.134,0.207,-147.401,-56.007,198.001,169.759,-126.597,-140.053,89.572,99230.625,30.0,10,1.5282,-2.1903,-1.5766,-0.0666,0.0562,19.627,1.4581,,,,,
359,225.000,40.000,220.292,0.055,-155.039,-37.736,206.056,151.521,-147.155,-139.765,88.287,99229.891,30.0,10,1.5385,-1.9034,-1.6684,-0.0264,0.0563,19.640,1.2786,,,,,
360,230.000,40.000,221.200,0.136,-161.439,-14.582,211.109,128.842,-162.226,-136.485,90.912,99229.352,30.0,10,1.5981,-1.6750,-1.7345,0.0179,0.0564,19.677,0.7085,,,,,
361,235.000,40.000,220.022,0.081,-169.681,7.646,213.315,101.619,-177.181,-136.699,91.755,99230.823,30.0,10,1.6846,-1.4928,-1.8060,0.0801,0.0562,19.627,0.5042,,,,,
362,240.000,40.000,219.828,0.070,-176.437,32.066,214.530,72.463,-187.444,-139.770,94.147,99229.992,30.0,10,1.8310,-1.3800,-1.8533,0.1535,0.0562,19.619,1.2801,,,,,
363,245.000,40.000,221.450,0.185,-178.688,62.370,216.257,40.057,-189.800,-143.395,99.820,99230.453,30.0,10,2.0967,-1.3281,-1.8586,0.2343,0.0564,19.687,0.5640,,,,,
364,250.000,40.000,220.203,0.136,-177.788,89.727,215.748,5.886,-190.945,-149.355,100.734,99230.953,30.0,10,2.4468,-1.3022,-1.8683,0.3266,0.0563,19.633,0.7820,,,,,
365,255.000,40.000,218.884,0.015,-171.914,114.956,212.213,-27.473,-190.196,-157.213,100.864,99230.367,30.0,10,2.9745,-1.3259,-1.8691,0.4220,0.0561,19.580,0.5443,,,,,
366,260.000,40.000,221.989,-0.217,-159.500,143.384,207.338,-64.353,-186.956,-166.468,101.491,99229.734,30.0,10,4.0317,-1.4273,-1.8404,0.5184,0.0565,19.729,1.5769,,,,,
367,265.000,40.000,220.347,-0.114,-144.338,165.875,195.189,-102.584,-183.369,-180.892,98.132,99227.883,30.0,10,6.7619,-1.8810,-1.8312,0.6424,0.0563,19.652,0.6037,,,,,
428,210.000,45.000,219.387,0.094,-158.767,-134.343,168.431,194.856,-128.131,-167.757,41.215,99234.469,30.2,10,1.1953,-2.5594,-1.5847,-0.0614,0.0562,19.605,0.8011,,,,,
429,215.000,45.000,219.995,0.149,-164.249,-118.048,183.346,181.846,-154.460,-169.575,39.928,99233.852,30.2,10,1.2104,-2.1882,-1.7033,-0.0272,0.0562,19.630,0.6717,,,,,P3-P4
430,220.000,45.000,222.585,0.221,-167.406,-97.536,198.219,167.090,-176.126,-167.608,39.821,99231.688,30.2,10,1.2279,-1.9031,-1.7931,0.0022,0.0566,19.742,0.4606,,,,,
431,225.000,45.000,219.861,0.126,-176.215,-78.345,204.500,143.032,-201.051,-168.163,37.875,99230.680,30.2,10,1.2676,-1.6510,-1.9155,0.0578,0.0562,19.625,1.3204,,,,,
432,230.000,45.000,219.220,0.358,-178.386,-52.683,211.822,119.756,-216.226,-163.562,41.372,99232.746,30.2,10,1.3256,-1.4580,-1.9896,0.1017,0.0561,19.586,0.7540,,,,,
433,235.000,45.000,218.438,0.166,-179.973,-26.017,215.132,93.468,-224.347,-159.121,45.421,99232.089,30.2,10,1.4086,-1.3189,-2.0286,0.1512,0.0560,19.560,0.9006,,,,,
434,240.000,45.000,219.156,0.392,-188.465,2.222,217.218,61.008,-232.689,-160.550,49.147,99232.728,30.2,10,1.5408,-1.2112,-2.0654,0.2293,0.0561,19.582,0.7656,,,,,
435,245.000,45.000,219.587,0.165,-205.502,30.785,218.262,25.299,-235.905,-163.633,52.545,99232.236,30.2,10,1.7300,-1.1331,-2.0759,0.3160,0.0562,19.612,0.2967,,,,,
436,250.000,45.000,218.708,0.165,-217.404,61.571,217.566,-13.086,-233.591,-173.572,56.149,99233.453,30.2,10,2.0657,-1.1442,-2.0696,0.4278,0.0561,19.572,0.3255,,,,,
437,255.000,45.000,222.051,0.127,-219.436,98.801,218.696,-55.544,-228.684,-185.123,61.086,99231.858,30.2,10,2.6744,-1.1959,-2.0310,0.5428,0.0565,19.723,0.2906,,,,,
438,260.000,45.000,222.808,0.044,-211.860,130.386,212.792,-99.467,-224.845,-195.490,61.211,99229.936,30.2,10,3.6974,-1.2411,-2.0095,0.6622,0.0566,19.761,0.4844,,,,,
439,265.000,45.000,219.050,0.102,-198.539,157.724,196.256,-147.303,-220.663,-211.853,55.982,99231.898,30.2,10,6.7334,-1.5711,-2.0083,0.8207,0.0561,19.591,0.8391,,,,,
